userId,movieId
18,6 16 32 36 47 50 110 111 163 165 180 223 235 260 288 293 296 318 329 337 356 431 508 527 541 555 589 590 593 608 745 778 780 858 904 908 913 919 923 924 1036 1080 1086 1089 1095 1136 1148 1193 1196 1198 1201 1203 1206 1207 1209 1210 1212 1213 1214 1219 1221 1222 1223 1227 1234 1240 1245 1246 1247 1252 1260 1270 1276 1291 1356 1371 1374 1466 1617 1704 1721 1729 1732 1892 1954 1961 2000 2019 2028 2115 2268 2291 2324 2329 2409 2420 2542 2571 2762 2951 2959 2997 3052 3081 3147 3275 3462 3578 3681 3793 3896 3949 4007 4011 4226 4239 4262 4306 4327 4383 4886 4963 4973 4993 4995 5008 5120 5218 5349 5418 5445 5464 5608 5679 5956 5989 5995 6300 6333 6377 6440 6539 6787 6807 6870 7147 7153 7254 7361 7843 8117 8665 8798 8950 8958 27716 27878 30793 30812 33794 36529 37729 37733 37741 38038 38061 40819 44191 44199 44555 44665 45499 45722 47491 48394 48516 48780 51357 51540 52604 54286 55118 55276 55290 55765 56757 57669 58299 58559 59315 59784 64197 65596 66934 67255 68073 68159 68319 68954 69640 69757 71108 71899 72998 73017 73323 74458 74510 74948 76251 77561 78499 79132 79702 80489 81788 84392 85354 86628 87232 88140 89745 90600 91500 91529 91542 96432 96488 96655 98124 98809 99114 99813 102445 102903 103772 106487 106839 109374 109487 111362 112334 112421 112552 112852 114066 115713 116797 117176 119145 122886 122900 122918 122924 134130 140289 141688 142488 144210 148626 150548 155168 157108 157110 158238 161582 166635 168252 171023 177593 180777 185135
19,1 32 34 235 260 293 353 357 367 377 457 541 551 589 592 674 720 724 745 783 818 837 852 903 904 910 913 931 933 1073 1079 1086 1097 1148 1193 1196 1197 1198 1214 1219 1234 1240 1256 1265 1269 1270 1278 1285 1291 1297 1372 1374 1376 1527 1566 1573 1617 1625 1653 1658 1923 1967 2005 2037 2041 2081 2094 2137 2140 2174 2186 2253 2359 2371 2396 2423 2491 2571 2606 2700 2716 2723 2762 2763 2858 2918 2936 2959 2968 2987 2997 3035 3056 3070 3108 3175 3213 3358 3396 3421 3471 3477 3745 3754 3793
20,13 34 48 239 262 362 364 531 551 588 594 595 596 661 720 837 899 914 919 1012 1013 1022 1025 1028 1029 1035 1073 1088 1097 1148 1282 1380 1489 1566 1688 1907 1947 2005 2018 2033 2078 2080 2081 2083 2085 2087 2089 2096 2135 2137 2140 2141 2161 2300 2355 2394 2657 2687 2700 2709 2746 2761 2804 2857 2941 2987 3034 3114 3159 3396 3397 3398 3410 3438 3549 3578 3751 3755 3852 3897 3967 4014 4016 4019 4027 4029 4039 4154 4246 4306 4310 4700 4886 4896 4979 4990 4993 4995 5013 5014 5015 5103 5218 5299 5364 5378 5388 5445 5618 5693 5785 5816 5952 5989 5991 6143 6170 6297 6333 6345 6365
21,10 260 355 356 364 370 480 588 597 648 743 1196 1198 1210 1270 1291 1544 1580 1722 2011 2012 2115 2376 2424 2529 2541 2571 2628 2671 2706 2717 2763 2916 2947 2948 2949 2989 2990 2991 2993 3022 3082 3253 3623 3633 3635 3638 3639 3868 3869 3984 4005 4306 4489 4545 4638 4718 4896 4963 5218 5378 5418 5445 5459 5574 5816 5872 6539 6934 6942 7143 7569 7570 7573 8360 8368 8529 8644 8665 8798 8972 8984 33004 33493 33615 33679 40815 47566 47997 49272 53121 53125 53322 54286 58998 59315 59615 68954 69644 69844 72998 77561 78499 78637 79185 82202 85259 88125 89745 91630 94677 94777 95170 96079 101864 102481 103141 103335 103384 104211 104841 105653 106487 106696 107141 110130 111617 111759 111781 112852 115617 117529 119145 122886 122896 122922 134853 135887 136020 143385 152081 164179 167036
22,107 216 253 318 356 541 1193 1223 1952 1953 2160 2300 3006 3489 3578 3751 3911 3996 4017 4034 4036 4848 4903 5669 6711 6870 6874 7438 8798 8961 48780 49272 55820 56782 68157 68536
23,6 29 50 272 293 334 541 741 778 913 923 924 1089 1175 1199 1206 1208 1212 1214 1222 1232 1233 1237 1252 1258 1266 1274 1284 1464 1711 2467 2579 2686 2726 3265 3949 4226 4235 5333 5618 5782 5971 6440 6773 7099 7123 7587 8012 8228 8370
24,6 50 296 318 356 593 608 1197 1198 1246 1265 1396 1527 1580 1704 1784 2028 2115 2424 2571 2686 3147 3578 4027 4262 4489 4855 5064 5418 5673 5791 6350 7143 27773 35836 38061 44191 46976 51662 54286 58559 58998 64957 68358 70286 72011 79132 86882 91529 94777 119145 132660 134130 134853
25,231 260 527 1198 2028 2571 3578 4993 5952 7153 58559 59315 60069 68157 68954 74458 79132 91529 116797 122912 122916 176371 177593 180095 187541 187593
26,47 165 296 454 457 592 593
27,2 34 48 62 260 316 356 364 367 480 590 595 648 745 783 808 902 911 913 920 969 986 1015 1021 1022 1035 1083 1097 1101 1127 1148 1196 1197 1198 1201 1207 1210 1250 1262 1270 1276 1287 1584 1721 1876 1907 1947 2012 2046 2054 2080 2094 2100 2115 2150 2151 2161 2406 2407 2478 2529 2565 2628 2640 2687 2944 2951 3037 3062 3104 3114 3350 3448 3451 3471 3479 3489 3508 3555 3654 3681 3836
28,260 293 296 316 345 356 475 507 541 589 590 858 1196 1200 1201 1210 1213 1221 1222 1240 1249 1256 1266 1358 1371 1527 1610 1732 1921 1953 2021 2105 2278 2358 2490 2571 2628 2858 2968 3100 3250 3272 3300 3328 3360 3508 3535 3578 3783 3967 4223 4878 5010 5152 5378 5782 6537 6617 6867 6874 7438 7458 7481 7706 7841 7842 8010 8132 8378 8633 8644 8950 26614 26649 27611 30707 30749 33493 33660 33794 34405 36529 38061 41863 43396 44195 48385 49265 49530 51662 53123 54286 55118 55820 56174 57640 57669 59018 59315 59369 60069 60389 60684 60943 61167 63082 64614 64716 64957 68791 70286 72998
29,150 165 316 318 356 750 780 858 904 914 924 953 1136 1198 1201 1204 1208 1209 1213 1222 1224 1242 1250 1262 1270 1272 1303 1408 1617 1939 1945 2028 2301 2872 2944 2951 3363 3578 3681 4223 4327 5010 5464 5995 6502 6787 7156 26554 26729 27611 48516 48774 51540 55820 56174 64620 68237 70286 80489 81845 82459 87306 98961 99114 104841 111362 111759
30,110 260 318 1036 1196 1198 1210 1291 2571 4993 5952 7153 33794 58559 59315 60069 68358 68954 79132 91529 93510 95510 96821 97913 108932 109487 111759 112852 115617 116823 122904
31,1 7 10 62 141 165 339 377 588 605 648 733 736 780 783 784 852 912 1036 1057 1073 1196 1197 1198 1214 1240 1270 1278 1282 1302 1353 1356 1361 1363 1391 5060
32,7 21 25 26 32 36 50 58 74 78 100 141 194 203 224 246 260 265 272 282 296 314 318 339 345 361 440 497 527 529 538 539 592 593 608 627 708 733 761 802 852 912 1036 1061 1073 1079 1084 1086 1103 1104 1196 1197 1198 1356 1391 1393 1409 1429 1458 1459
33,17 21 28 36 39 50 58 94 110 151 223 232 261 265 272 293 296 307 308 318 337 339 345 356 385 428 446 448 452 457 475 497 507 509 527 529 562 588 589 593 608 613 715 778 800 838 866 914 919 994 1056 1059 1060 1095 1188 1210 1245 1249 1280 1357 1358 1393 1446 1500 1537 1542 1545 1617 1633 1639 1641 1653 1673 1678 1682 1704 1719 1721 1777 1801 1885 1888 1923 2028 2080 2268 2310 2333 2355 2357 2396 2539 2542 2571 2580 2690 2762 2875 2943
34,10 318 356 377 1527 2006 2273 2443 2617 2959 3000 3624 3717 3793 3977 3996 4226 4246 4367 4446 4447 4643 4720 4973 5349 5378 6333 6378 6387 6539 6618 6711 6721 6857 6874 7090 7438 7451 8636 26606 27193 27801 44974 45499
35,11 21 50 60 62 150 185 222 235 236 252 261 300 339 342 590 592
36,318 1234 1262 1617 2359 2376 3347 3363 3897 5312
37,150 165 231 292 296 316 318 344 349 356 457 590 593 671 1061 1073
38,11 50 110 150 151 161 168 223 224 235 246 300 318 350 357 368 376 454 457 497 527 551 590 592 595 648
39,50 260 296 364 457 588 589 592 593 608 610 745 858 1025 1027 1036 1089 1097 1127 1136 1196 1197 1198 1200 1210 1213 1214 1215 1219 1221 1248 1258 1270 1276 1287 1291 1387 1394 1408 1500 1584 1610 1729 1921 1967 1968 1994 2118 2342 2366 2391 2529 2571 2580 2599 2692 2700 2762 2858 2912 2987 2997 3000 3019 3213 3328 3362 3481 3745 3793 3911
40,1 17 21 26 31 34 46 60 62 82 107 110 111 121 150 151 158 163 165 172 173 203 205 218 223 224 230 235 236 252 265 266 272 281 296 300 306 307 308 314 317 318 327 337 344 350 351 362 364 367 371 431 440 454 491 514 553 588 590 592 609 610 685
41,293 296 357 593 595 608 778 1206 1219 1225 1258 1259 1721 1732 1784 1961 2160 2324 2329 2692 2712 2858 2959 3160 3285 3578 3948 3949 3968 4022 4027 4226 4235 4246 4816 4848 4878 4973 5377 5989 5995 6016 6287 6373 6377 6763 6874 7149 7173 7293 7361 7438 8949 8981 30707 30812 33166 34162 35836 41285 46578 46723 49530 50872 54272 55247 55280 55820 57669 58998 61240 66097 67255 68157 68954 71033 71899 86781 87869 88163 89759 92259 96829 97921 99114 104879 106918 111921 112552 115569 116897 118900 128360 139385
42,3 10 11 16 21 22 47 50 86 104 110 144 150 185 186 223 225 227 231 234 252 253 260 276 288 296 318 333 349 350 356 364 381 383 408 433 434 436 442 457 468 507 509 527 540 548 550 552 553 555 590 593 597 648 708 788 805 858 912 924 1027 1036 1060 1061 1089 1090 1093 1097 1100 1101 1124 1127 1191 1197 1210 1213 1221 1222 1231 1245 1246 1265 1270 1285 1302 1307 1373 1374 1378 1379 1393 1457 1466 1476 1479 1485 1488 1500 1517 1573 1580 1597 1608 1610 1614 1625 1645 1653 1663 1672 1673 1704 1722 1729 1784 1805 1835 1876 1894 1923 1961 1968 2000 2001 2011 2023 2028 2081 2100 2110 2115 2146 2194 2263 2268 2278 2297 2302 2311 2329 2335 2352 2371 2372 2376 2407 2423 2424 2427 2478 2490 2497 2502 2505 2539 2541 2568 2571 2580 2598 2605 2671 2683 2694 2700 2702 2706 2707 2712 2735 2763 2771 2791 2795 2796 2804 2805 2861 2871 2890 2906 2915 2918 2968 2987 2989 2990 2997 3033 3082 3098 3100 3120 3142 3173 3176 3186 3210 3252 3253 3256 3257 3259 3263 3264 3298 3301 3361 3387 3408 3441 3448 3450 3481 3502 3515 3535 3552 3617 3717 3752 3753 3755 3841 3946 4002 4005 4007 4008 4018 4022 4027 4034 4041 4062 4084 4085 4102 4262 4280 4293 4321 4322 4349 4351 4359 4396 4482 4487 4489 4509 4516 4541 4545 4564 4577 4621 4623 4679
43,1 3 5 7 8 10 11 23 29 34 47 48 57 60 79 95 102 107 150 153 158 161 165 168 174 185 193 208 217 225 238 253 256 259 261 262 271 276 277 292 316 317 318 325 329 339 343 344 350 351 355 356 362 364 367 374 382 410 419 420 432 434 435 442 454 457 480 484 500 502 519 520 532 542 552 553 575 587 588 589 590 592 594 595 596 597 609 610 616 631 648 661 711 783 788 810 828 1064 1073 1084 1105 1356
44,18 36 94 95 104 112 260 494 663 733 737 805 852 889 1120 1210 1393 1405 1429 1476 1517 1552 1639
45,1 6 19 21 32 50 62 70 88 104 107 110 112 150 165 180 216 223 231 252 260 292 296 316 329 333 344 356 357 362 364 367 368 380 457 474 480 500 520 543 552 588 589 590 593 594 595 648 671 733 765 778 784 785 832 852 858 903 924 1028 1029 1033 1035 1037 1059 1060 1073 1080 1097 1101 1127 1136 1196 1197 1198 1210 1213 1221 1225 1242 1246 1258 1282 1291 1302 1356 1370 1372 1375 1393 1396 1407 1431 1442 1457 1485 1517 1527 1566 1569 1573 1584 1591 1608 1610 1639 1641 1653 1676 1682 1688 1704 1721 1729 1732 1753 1777 1784 1866 1909 1921 1923 1961 1968 2006 2028 2064 2078 2080 2081 2083 2087 2096 2106 2115 2124 2140 2195 2231 2268 2311 2324 2329 2355 2396 2431 2485 2492 2501 2502 2504 2528 2541 2571 2580 2598 2616 2628 2657 2683 2687 2694 2700 2706 2707 2710 2716 2731 2762 2763 2771 2791 2797 2841 2858 2890 2915 2916 2918 2947 2959 2987 2997 3033 3052 3082 3114 3147 3176 3177 3196 3253 3254 3273 3298 3301 3396 3408 3421 3481 3510 3534 3536 3549 3552 3555 3565 3578 3617 3717 3752 3753 3793 3798 3972 3996 4011 4016 4022 4033 4034 4299 4306 4308 4369 4718 4734 4886 4896 4901 4958 4963 4974 4993 5151 5283 5349 5378 5418 5445 5481 5500 5502 5528 5630 5989 6287 6333 6365 6373 6377 6539 7173 7294 8360 8528 8665 33004 33145 33493 33679 50872 51080 53121 53125 53322 53993 53996 54272 54286
46,1 32 50 110 111 153 160 165 173 185 236 253 266 292 316 318 339 364 367 380 434 454 457 588 590 593 595
47,318 356 391 508 587 1088 1097 1961 2028 3147 3844 5108 5669 8966 30707 33166 47423 51931 55247 56587 63082 69712 72641 81932 84152 96567 96811 97923 106100 112552 112804 117881 140715
48,48 653 1320 1356 1485 1527 1580 1584 1625 1653 1690 2081 2115 2194 2571 2617 2797 4886 5349 5445 5882 5903 8371 8636
49,110 318 356 527 1097 1200 1214 2028 2571 4022 5218 6377 47099 70286 79091 79132 103335 109487 122920 139385 168252
50,111 296 541 608 750 858 899 903 923 924 1136 1199 1201 1204 1206 1208 1232 1251 1252 1258 1274 2019 2160 2732 3415 3730 4914 4928 5618 7327 7396 7700 7748 8928 26258 26326 27156 92475
51,2 3 7 70 76 111 170 177 236 247 260 316 339 380 468 497 505 520 551 555 589 593 610 616 653 708 719 781 804 829 849 924 953 965 1024 1033 1079 1088 1093 1186 1196 1200 1201 1214 1215 1224 1235 1243 1244 1249 1257 1267 1272 1276 1298 1301 1302 1304 1350 1371 1373 1391 1479 1500 1580 1639 1641 1645 1663 1665 1674 1748 1784 1834 1845 1873 1953 1967 1994 1997 1999 2015 2033 2100 2124 2140 2148 2159 2167 2169 2183 2194 2248 2249 2282 2291 2301 2302 2321 2322 2374 2375 2391 2454 2455 2470 2554 2580 2605 2613 2615 2664 2762 2788 2791 2797 2836 2871 2872 2901 2951 2978 3070 3107 3108 3115 3148 3186 3219 3361 3363 3388 3421 3430 3471 3481 3489 3501 3671 3681 3683 3763 3814 3863 3917 3918 3949 3959 3969 3994 4002 4014 4034 4238 4255 4262 4267 4327 4437 4464 4713 4855 4865 4878 4886 4971 4992 5060 5377 5481 5505 5568 5816 5956 6323 6502 6659 6708 6711 6807 6873 7000 7147 7160 7254 7438 7569 7983 8464 8533 8784 8874 34338 39183 39414 42723 47997 48774 48877 51662 52973 54001 56367 58559 59615 60074 60487
52,150 260 293 318 356 364 588 733 1196 1210 1704 1784 1923 2324 2571 2959 3753 3996 4901 5010 5064 5418 5669 6874 7153 7438 7445 8464 8665 8874 8961 30749 31696 34405 35836 36529 37733 39183 39444 40583 44191 44665 46976 47099 47200 47610 47997 48304 48516 48738 49272 49530 49651 50794 50872 51255 51662 52245 52281 52328 52973 54286 54503 54736 54995 54997 54999 55118 55276 55765 57368 57669 58559 58998 59369 59784 60069 60684 61132 62374 63082 63113 64620 68358 68954 69122 69481 70286 71535 72998 73017 74458 76093 79091 79132 81847 86892 89745 93721 95167 96811 110501 112138 112175 112852 119145 122882 122886 122900 122904 134130 134368 134853 152081
53,203 249 381 413 481 748 880 916 922 1049 1100 1125 1256 1298 1441 1982 2616 2686 3100 4019
54,318 356 593
55,1275 1293 2542 2890 3275 4011 27831 33166 44665 48516 54286
56,10 11 19 39 47 69 110 153 161 208 225 231 292 296 315 317 318 344 349 356 364 380 457 480 493 589 593 733 786
57,1 32 50 69 110 112 141 162 171 224 235 260 329 349 356 357 364 380 431 440 457 480 494 515 527 541 551 553 588 589 592 593 594 595 596 608 648 674 720 745 750 778 781 858 861 866 897 899 903 904 908 911 912 913 915 920 922 923 924 933 940 942 951 955 969 994 1028 1032 1036 1047 1080 1101 1127 1136 1148 1183 1193 1196 1197 1198 1200 1201 1204 1206 1208 1210 1212 1220 1221 1222 1223 1226 1234 1240 1242 1243 1248 1249 1250 1252 1254 1256 1265 1266 1269 1270 1275 1276 1278 1282 1283 1284 1285 1287 1288 1291 1304 1356 1372 1374 1376 1391 1429 1513 1517 1527 1580 1610 1617 1641 1643 1653 1670 1673 1676 1682 1747 1784 1907 1909 1939 1953 1954 1968 2000 2009 2019 2028 2067 2080 2081 2087 2102 2109 2140 2150 2194 2202 2268 2291 2297 2300 2311 2321 2324 2355 2390 2396 2403 2406 2490 2529 2571 2599 2640 2687 2700 2706 2716 2759 2761 2762 2770 2788 2791 2804 2858 2916 2917 2918 2921 2922 2935 2947 2951 2968 2989 2997 3020 3022 3030 3032 3044 3045 3066 3081 3104 3105 3108 3114 3175 3256 3334 3396 3429 3435 3441 3446 3466 3471 3479 3494 3500 3507 3552 3578 3624 3628 3632 3635 3643 3671 3681 3740 3769 3811 3827 3836 5060
58,5 7 21 31 32 36 39 47 50 110 150 161 165 168 208 218 222 231 234 249 261 265 277 280 282 292 293 296 300 315 318 327 333 337 339 342 345 350 356 362 364 367 368 371 377 440 457 474 475 477 480 497 508 527 529 539 543 551 587 588 589 594 595 596 597 616 648 708 780 1073
59,41 105 111 260 367 527 541 589 593 608 647 648 733 750 780 858 903 904 906 912 913 922 924 928 965 969 1086 1090 1094 1097 1151 1183 1188 1196 1208 1212 1219 1221 1222 1224 1233 1244 1247 1250 1252 1263 1269 1299 1361 1480 1573 1610 1617 1625 1631 1674 1696 1797 1927 1944 1953 2020 2028 2067 2075 2076 2160 2352 2427 2550 2726 2763 2944 2968 3075 3204 3230 3256 3386 3448 3461 3462 3471 3479 3498 3504 5060 6460
60,318 362 527 783 805 858 1242 2150 2739 3386 3424 6016 58559
61,16 32 50 235 266 293 318 555 593 1089 1090 1201 1208 1213 1214 1258 1304 1653 3949 4011 4226 4878 4993 5952 6502 6796 6874 7153 7361 7438 27831 30707
62,2 6 47 110 260 293 296 318 356 410 527 586 593 778 858 1089 1097 1193 1196 1198 1203 1210 1221 1246 1265 1270 1291 1610 1645 1653 1682 1704 1721 1732 1961 2011 2012 2023 2028 2115 2124 2329 2571 2628 2762 2959 3000 3147 3252 3578 3948 3949 3969 3994 4011 4148 4223 4262 4878 4896 4963 4973 4993 4995 5349 5378 5388 5445 5502 5618 5630 5816 5903 5952 5989 5995 6365 6373 6539 6874 6934 7143 7153 7254 7293 7361 7438 7458 8368 8529 8636 8641 8914 8950 8961 8984 27660 27706 27808 27831 30793 31696 32587 33162 33493 33660 33794 36529 37729 37733 38061 40815 41566 41569 44191 45722 46972 46976 47099 47610 48385 48394 48516 48780 49130 49272 49530 50804 51540 51662 52604 52722 53125 53322 54001 54503 54997 55820 55908 56174 56587 56757 58559 58803 59501 60069 60684 61024 63072 63113 64957 64969 67734 68157 68554 68848 68954 69122 69757 69844 71106 72998 73017 74458 74789 79132 79357 79702 80693 81834 81845 83369 84152 85414 86332 86880 86911 87232 88125 88140 88163 89492 89745 89864 91500 91529 91542 91658 96079 96610 96821 96829 97921 97938 98809 99114 99149 101864 102123 102903 103341 103772 104374 104863 106487 106489 106782 106918 107348 107406 108729 109374 109487 110102 111360 111362 111759 112552 112556 112804 112852 113741 114662 114678 114935 115149 115210 115569 115680 115713 116797 116823 116897 117176 118696 122882 122886 122892 122898 122904 122912 122916 122918 122920 122922 122924 122926 128360 135143 135536 136020 136864 139385 140110 142222 150548 158238 158966 161131 162606 164179 166528 166534 168248 168250 168252 171763 172591 173925 174053 175303 176371 176601 182715 183611 185031 185135 187593 187595
63,1 47 50 165 260 296 318 344 357 364 367 527 588 589 592 608 648 745 778 858 912 913 953 1036 1080 1084 1136 1148 1193 1196 1198 1201 1202 1203 1208 1210 1213 1220 1221 1223 1262 1270 1282 1288 1291 1617 1965 1968 2078 2115 2329 2542 2692 2716 2788 2791 2858 2959 3088 3435 3481 3535 3751 3949 3996 4344 4963 4979 4993 4995 5010 5218 5418 5445 5464 5618 5669 5989 6016 6104 6350 6502 6539 7132 7153 7361 7980 8464 8874 8917 27904 31658 32587 33779 38038 45722 45728 48516 48774 49272 51255 53972 54272 54286 57669 58559 59615 60069 64285 67997 68954 69481 71535 73017 74458 77455 77800 78499 79702 81229 81845 85414 86290 87232 88140 89753 89904 91529 91630 91658 92494 92535 95858 96610 97913 98491 102217 102445 104069 106696 108932 110102 111759 111781 112852 115617 122892 134853
64,1 6 16 32 34 36 39 47 70 110 111 231 253 266 293 296 318 333 353 356 357 364 365 480 509 520 527 553 555 585 587 588 589 590 593 596 608 628 708 778 858 908 919 1028 1029 1073 1079 1088 1089 1090 1092 1094 1096 1097 1136 1148 1183 1193 1197 1203 1204 1207 1208 1213 1214 1215 1217 1221 1222 1225 1228 1250 1263 1265 1276 1287 1288 1293 1302 1343 1345 1348 1358 1387 1405 1408 1466 1513 1517 1617 1641 1673 1682 1704 1729 1732 1762 1777 1907 1912 1947 1961 1967 1994 2003 2005 2019 2028 2064 2078 2080 2124 2140 2161 2194 2248 2268 2278 2291 2313 2324 2329 2355 2395 2396 2420 2427 2502 2571 2640 2657 2683 2692 2700 2746 2761 2762 2770 2797 2804 2871 2908 2959 2987 2997 3030 3052 3072 3105 3108 3114 3147 3148 3160 3210 3253 3300 3362 3386 3396 3421 3481 3499 3526 3535 3556 3608 3809 3897 3949 3994 3996 4002 4011 4016 4027 4034 4128 4144 4226 4235 4246 4380 4489 4571 4776 4865 4878 4886 4973 4979 4980 4993 5010 5015 5026 5225 5266 5291 5299 5445 5502 5617 5673 5690 5782 5810 5902 5952 5954 5956 6188 6214 6218 6281 6296 6331 6377 6385 6502 6539 6659 6711 6796 6874 6957 6975 7090 7139 7147 7153 7160 7162 7360 7361 7438 7451 7743 7982 8014 8376 8464 8622 8623 8641 8645 8784 8795 8798 8873 8874 8917 8950 8981 27266 27523 27773 27869 30793 30810 31878 32587 33683 33794 34072 39183 40815 40819 41566 41569 42632 46578
65,318 527 1246 1682 2028 2329 2959 3147 4226 7153 33660 36529 44191 48780 55247 58559 64614 74458 79132 89774 91542 97752 109487 111759 116797
