id,features
210,"[-1.0609060525894165, -1.7475241422653198, 0.013028726913034916, -0.5634576678276062, 1.8035669326782227, -1.0476069450378418, 0.5716901421546936, 0.4109618067741394, -1.9476394653320312, 0.46791547536849976]"
220,"[0.1354721635580063, -1.057517170906067, 0.3401108682155609, -0.721790075302124, 1.5234086513519287, 0.2958601415157318, -0.6738603711128235, 0.03082854114472866, -0.9007382988929749, 0.0650859847664833]"
230,"[0.37405911087989807, -2.8122689723968506, 0.20527319610118866, -1.336476445198059, 2.4614756107330322, -0.5807717442512512, 0.8314566016197205, 0.6056467294692993, -1.235853672027588, 0.04575354605913162]"
240,"[0.25163933634757996, -1.9308854341506958, -0.20562994480133057, -0.6431031823158264, 0.8542807698249817, -0.6453573703765869, -0.29280680418014526, -0.27627313137054443, -1.8794931173324585, -0.19868922233581543]"
250,"[-0.9544218182563782, -0.9613941311836243, -0.19004376232624054, -0.6784595847129822, 1.4970664978027344, -1.0858672857284546, -1.1963127851486206, 0.29712238907814026, -2.4462227821350098, 0.5450162291526794]"
260,"[-0.40992528200149536, -3.292090654373169, 0.39459678530693054, -0.8313540816307068, 1.3378263711929321, -1.372073769569397, 0.41286495327949524, 1.3741888999938965, -1.367567539215088, 2.105685234069824]"
270,"[-0.44962820410728455, -2.1640968322753906, 0.9188675284385681, -0.2589138448238373, 0.7573662400245667, -2.066857099533081, -1.0708476305007935, 0.8366283178329468, -1.1649365425109863, 0.8001043796539307]"
280,"[-0.6384831070899963, -1.6209157705307007, -0.6518125534057617, -0.35572734475135803, 2.443528890609741, -1.9958736896514893, -0.293199747800827, 0.2510518729686737, -1.5495367050170898, 2.0438928604125977]"
290,"[1.1308279037475586, -3.264453411102295, -1.0143699645996094, -1.696826457977295, 1.300652265548706, -0.9218100905418396, 0.8434518575668335, 1.6415377855300903, -1.6782320737838745, 1.5851001739501953]"
300,"[-0.5547825694084167, -3.138453960418701, -0.33897799253463745, -1.01475191116333, 1.2820488214492798, -1.3971519470214844, 0.5520098805427551, 0.5630461573600769, -1.304460048675537, 1.1768141984939575]"
310,"[-0.7248557806015015, -0.7357265949249268, 0.5699011087417603, -0.6249372959136963, 1.3669945001602173, -0.5801085829734802, -0.2217874377965927, -0.24894163012504578, -1.3325704336166382, -0.17559228837490082]"
320,"[0.19365294277668, -1.9030606746673584, -0.2518204152584076, 0.2328028529882431, 0.7517714500427246, 0.43518146872520447, 0.8681998252868652, 1.1466834545135498, -0.22360919415950775, -0.26153457164764404]"
330,"[-0.1600249856710434, -1.2055953741073608, -0.186116561293602, -0.8355997204780579, 1.5488059520721436, 0.02283048816025257, 1.3403964042663574, 1.882925033569336, -2.5392069816589355, 1.3597002029418945]"
340,"[-1.0452210903167725, -1.636443853378296, -0.0218241885304451, -0.5591470003128052, 1.7694993019104004, -1.2278543710708618, 0.3146597146987915, 0.49742427468299866, -1.9432846307754517, 0.6205174326896667]"
350,"[0.412221759557724, -2.25854229927063, -0.12223885208368301, -0.9294893145561218, 1.7783881425857544, -1.146649718284607, 0.08623208105564117, 0.180974543094635, -2.1647233963012695, 0.2835671305656433]"
360,"[-1.2926441431045532, -1.6157970428466797, 0.21777094900608063, -1.4477415084838867, 0.12147875130176544, -1.5358353853225708, 0.5818436145782471, 0.5764688849449158, -1.4969249963760376, 0.9497783780097961]"
370,"[0.39390072226524353, -1.3894970417022705, -0.3943482041358948, -0.6392284035682678, 1.6490305662155151, -1.1233515739440918, 0.2955818772315979, 0.7632163166999817, -1.9126852750778198, 1.3290292024612427]"
380,"[-0.9951561093330383, -2.0250072479248047, 0.8604187965393066, -0.5479834675788879, 1.467530369758606, -0.8148794174194336, 0.2204015851020813, 1.3080850839614868, -1.5359967947006226, 1.2971043586730957]"
390,"[0.8902168869972229, -2.93845796585083, -0.18626321852207184, 0.8260449767112732, 2.0839574337005615, 0.40916919708251953, 1.1105296611785889, 2.041902542114258, -0.5570352673530579, 0.7553371787071228]"
410,"[-0.9984243512153625, -2.3876571655273438, 0.08059441298246384, -0.8139498233795166, 1.3541377782821655, -0.6046560406684875, 0.48436352610588074, 1.2122207880020142, -1.4634599685668945, 0.8373658061027527]"
420,"[-0.6561883687973022, -1.4363288879394531, -1.0490562915802002, -0.3624846935272217, 1.6136854887008667, -0.04309370368719101, -0.767438530921936, 0.6767457723617554, -2.253936767578125, 0.8133134245872498]"
430,"[-0.4095788300037384, -2.0122408866882324, 0.8135453462600708, -0.529665470123291, 2.095426559448242, -0.8153672218322754, -0.022596532478928566, 0.9015015959739685, -0.20227403938770294, 1.2397639751434326]"
440,"[-0.5557135343551636, -2.795931816101074, 0.43667951226234436, -0.9095746278762817, 1.2342926263809204, -1.419472575187683, 0.5536872148513794, 0.4660557806491852, -1.8518565893173218, 0.48159846663475037]"
450,"[-0.06976775825023651, -1.7805806398391724, 0.6516839265823364, -0.26008132100105286, 1.7067420482635498, -2.2041537761688232, 0.5288448333740234, 0.4299192428588867, -1.911468744277954, 0.6415085792541504]"
460,"[-0.9171240329742432, -2.064218759536743, -0.0675334483385086, -1.0690244436264038, 1.1424815654754639, -0.5370908379554749, 0.25189030170440674, 0.3694223165512085, -1.0579829216003418, 0.2950272560119629]"
470,"[0.21216189861297607, -0.36432144045829773, -0.5263064503669739, -0.23390968143939972, 0.3332746624946594, -0.09878551214933395, 0.144453227519989, 0.3978434205055237, -0.22543931007385254, 0.2231125384569168]"
480,"[-0.584413468837738, -2.6020865440368652, 0.5713261961936951, -0.9355072379112244, 1.4701197147369385, -1.0069923400878906, 0.42053475975990295, 0.673516571521759, -1.8502718210220337, 1.3343663215637207]"
490,"[-0.7813548445701599, -0.7302523255348206, -0.47298097610473633, -0.30703702569007874, 1.2506113052368164, -2.2957913875579834, 1.8931297063827515, -0.3105870187282562, -2.0158355236053467, 1.3401447534561157]"
500,"[-1.0314570665359497, -2.393709421157837, 0.3782709836959839, -0.6412386894226074, 1.3926243782043457, -0.9243811964988708, 0.022970743477344513, 1.0742985010147095, -2.0255982875823975, 0.4289795160293579]"
510,"[-0.7248557806015015, -0.7357265949249268, 0.5699011087417603, -0.6249372959136963, 1.3669945001602173, -0.5801085829734802, -0.2217874377965927, -0.24894163012504578, -1.3325704336166382, -0.17559228837490082]"
520,"[0.5759034156799316, -2.104959487915039, 1.2107069492340088, 0.41055962443351746, 0.8343193531036377, -1.070141315460205, -0.6613935232162476, 1.8081122636795044, -1.6108441352844238, 1.0886293649673462]"
540,"[0.8449012041091919, -1.2327830791473389, 0.13332253694534302, -1.0453130006790161, 0.6207944750785828, -0.8636409640312195, 1.4361552000045776, -1.368074893951416, -2.5493016242980957, 0.4398857653141022]"
550,"[-0.51626056432724, -2.308237075805664, 1.4953711032867432, -1.623964786529541, 1.355005145072937, 0.14034245908260345, -1.044382929801941, 2.655374765396118, -2.264876365661621, 2.7297656536102295]"
580,"[-0.8942747116088867, -2.7224929332733154, -0.4864904284477234, -1.6817673444747925, 1.151106357574463, -0.504601776599884, 2.0405609607696533, -0.09850997477769852, -0.32924017310142517, 1.371017336845398]"
590,"[-1.0789711475372314, -3.0202815532684326, 0.32141509652137756, -0.39992955327033997, 1.5222903490066528, -1.5096818208694458, 0.2203618884086609, 0.9038965106010437, -1.5334618091583252, 1.0069808959960938]"
600,"[-0.5604531764984131, -2.19478178024292, 1.442447543144226, 0.4210490882396698, 1.4898786544799805, -0.13458076119422913, 0.9814633727073669, 0.3326765298843384, -0.14257514476776123, 1.6464022397994995]"
610,"[-0.3981955945491791, -2.3321921825408936, -0.17680509388446808, -1.1193262338638306, 1.7104237079620361, -0.26858237385749817, -0.6434011459350586, 1.9007177352905273, -1.0931177139282227, 2.434748411178589]"
640,"[2.07560396194458, -1.4201594591140747, 0.259584903717041, -0.9494565725326538, -0.7991596460342407, -0.6272673606872559, 0.8082383871078491, -0.9012668132781982, -2.8676817417144775, 2.252619743347168]"
650,"[-0.6797153353691101, -0.551278829574585, -0.28905290365219116, 0.17140339314937592, 0.4390099346637726, -1.7046082019805908, 1.1295615434646606, 0.606705367565155, -2.001400947570801, 1.3696300983428955]"
670,"[-0.7180336713790894, -3.724477529525757, -0.787719190120697, -1.5099562406539917, 0.6517820954322815, -2.038722038269043, 0.4219697415828705, 0.7734180688858032, -1.7619446516036987, 0.5266862511634827]"
680,"[-1.100150227546692, -2.774524688720703, 0.06895823776721954, -0.47723013162612915, 2.6417529582977295, -0.7508934140205383, 0.06807806342840195, 1.1452330350875854, -0.7444678544998169, 2.041106939315796]"
700,"[-1.046348214149475, -3.4190523624420166, -1.0830190181732178, 0.09625378996133804, 1.1765716075897217, -0.9839615821838379, -0.4069902300834656, 0.32389572262763977, -2.317791223526001, 0.8055440187454224]"
710,"[0.37612342834472656, -1.6717122793197632, 1.1807769536972046, -0.22063179314136505, 1.8723021745681763, -1.048755407333374, -0.005512511357665062, 1.7273236513137817, -0.9565631151199341, 0.25555220246315]"
720,"[0.748344361782074, -4.2881598472595215, 0.07044699043035507, -2.6119682788848877, 1.7570868730545044, -0.9144407510757446, -0.052031926810741425, 1.6628961563110352, -1.1402264833450317, 1.0887377262115479]"
750,"[0.028031330555677414, -4.108925819396973, 0.5552574396133423, -0.695228636264801, 0.5663518309593201, -0.9181053638458252, 1.2332804203033447, 1.4520068168640137, -1.1542880535125732, 2.279303789138794]"
760,"[0.11831572651863098, -1.9881635904312134, 1.0179429054260254, 0.4542655646800995, 1.701752781867981, -1.1944043636322021, 1.7729071378707886, 0.8282673358917236, -0.6948562264442444, 1.6295911073684692]"
780,"[-0.41139596700668335, -1.9320155382156372, 0.6334066987037659, -0.8055269718170166, 1.4457086324691772, -0.6768369078636169, -0.09791084378957748, 1.127272605895996, -2.396700859069824, 0.6689420342445374]"
790,"[-0.5907597541809082, -1.1292693614959717, 0.48197802901268005, -0.32181107997894287, 0.12526631355285645, 0.20324663817882538, 0.14757247269153595, -0.05051155760884285, -0.7992280721664429, 0.6622268557548523]"
800,"[1.010447382926941, -4.112691879272461, 0.1763693392276764, 0.7661895155906677, 1.1576037406921387, -1.9616972208023071, 0.585788905620575, 0.4863397479057312, -0.967178225517273, 0.8318795561790466]"
810,"[0.6882785558700562, -1.6641980409622192, 0.9492319822311401, -0.39906325936317444, 1.92123544216156, -0.14657342433929443, -1.5059162378311157, -0.05276766046881676, -1.219774842262268, -1.3260427713394165]"
830,"[-1.5388449430465698, -2.1500940322875977, 1.0781887769699097, -0.43194329738616943, 1.387600302696228, -0.7357755899429321, -1.3671934604644775, 0.7650789022445679, -2.2147774696350098, -1.1149134635925293]"
840,"[-0.16531071066856384, -2.7073004245758057, 0.91087406873703, -1.7072086334228516, 0.8285556435585022, -1.0067662000656128, 0.7222315669059753, 0.4733211398124695, -1.1956119537353516, 1.5546623468399048]"
870,"[-0.0010833354899659753, -0.5945560336112976, 0.10775479674339294, -0.27888572216033936, 0.2559942901134491, -0.5584392547607422, 0.2662326395511627, 0.1433846354484558, -0.5548216104507446, 0.2577628791332245]"
880,"[0.029085977002978325, -2.060514211654663, -0.42099741101264954, -0.18453358113765717, 2.788778305053711, 0.7171000838279724, -0.7719182372093201, 0.8321070671081543, -0.6087214350700378, 1.4724888801574707]"
900,"[-1.2429604530334473, -3.9064953327178955, -0.3384397625923157, 0.1712193340063095, -0.34559136629104614, -1.0826748609542847, 0.6928915977478027, 0.8234988451004028, -1.409287691116333, 0.7795000076293945]"
910,"[-0.8853901028633118, -3.6683900356292725, -0.06367810815572739, -0.6215000152587891, 1.5219827890396118, -2.2396535873413086, -0.2777523696422577, 1.6349862813949585, -0.5952594876289368, 0.8540714383125305]"
920,"[-0.6971619129180908, -3.7575321197509766, 0.2914712131023407, -0.07625530660152435, 1.1199157238006592, -1.3700387477874756, -0.08894906938076019, 1.2140443325042725, -1.7017241716384888, 0.19347256422042847]"
930,"[-0.03063536062836647, -4.1751604080200195, 0.4317525625228882, -0.6579552292823792, 0.7219874262809753, -0.7714880704879761, -0.5987484455108643, 1.9362974166870117, -1.5836880207061768, 1.8287805318832397]"
940,"[-1.1296565532684326, -2.7167930603027344, 0.24626851081848145, -1.3767515420913696, 1.5952106714248657, -1.6898877620697021, 0.6415788531303406, -0.43142327666282654, -1.537815809249878, 2.098299026489258]"
950,"[0.3147912919521332, -4.255529403686523, 0.8008037805557251, -0.14390505850315094, 0.07765030115842819, -2.261244297027588, -1.4450713396072388, 0.5546364188194275, -0.6605205535888672, 2.5449635982513428]"
970,"[-1.0846186876296997, -2.8791861534118652, -0.9017626643180847, -0.17822669446468353, 0.41518229246139526, -1.5381945371627808, 0.3703245222568512, 0.4093575179576874, -0.3753279149532318, 0.2982551157474518]"
990,"[0.05808861926198006, -1.6791027784347534, 0.4621919095516205, -0.8088586926460266, 0.9483914375305176, -1.0843268632888794, -0.40277114510536194, 0.5564265251159668, -2.686967134475708, 0.1981702446937561]"
1010,"[-0.7047609090805054, -2.0766193866729736, 1.9746980667114258, -0.5249015688896179, 2.1622934341430664, -1.059029459953308, 0.6647802591323853, 0.023373441770672798, -1.603834867477417, 1.312980055809021]"
1020,"[-1.141668438911438, -1.9038610458374023, -0.2570817172527313, -0.9783095121383667, 0.6784593462944031, -1.2141761779785156, 1.0896530151367188, 0.8088167309761047, -1.7371852397918701, 1.3578840494155884]"
1030,"[-0.2922658920288086, -1.7074860334396362, 0.5925734043121338, -0.4199751615524292, 1.8947077989578247, -0.3706076443195343, -0.8309025168418884, 0.8817933797836304, -1.628617763519287, 1.6991239786148071]"
1040,"[-0.5918495059013367, -1.2889569997787476, -1.0496575832366943, 0.1816226989030838, 0.79845130443573, -0.7248743176460266, 1.1261694431304932, 0.9755311012268066, -0.8412430286407471, 0.9801380634307861]"
1050,"[-0.3807976245880127, -3.402021884918213, 0.1213991716504097, -0.6266494989395142, 0.5020154118537903, -0.35219109058380127, 2.0202078819274902, 1.0432571172714233, -1.1749167442321777, 1.7992912530899048]"
1060,"[0.4632773995399475, -3.4782233238220215, -0.625311017036438, -0.6309545636177063, 0.624499499797821, -1.2281293869018555, 1.1610021591186523, 0.7713594436645508, -1.5385754108428955, 1.7860991954803467]"
1080,"[0.20286428928375244, -2.9047012329101562, 0.44655841588974, 0.5305801630020142, 0.5398356914520264, -1.0803313255310059, 1.3119395971298218, 2.152235746383667, -1.7247081995010376, 1.8488956689834595]"
1090,"[-0.5060971975326538, -3.5557188987731934, -0.46862655878067017, -0.5672591328620911, 1.1353811025619507, -1.0802454948425293, 1.4603066444396973, 1.9397902488708496, -0.8111622929573059, 1.7803212404251099]"
1100,"[-0.9058645367622375, -0.5872741937637329, 0.20213636755943298, 0.14981459081172943, -0.2284553200006485, 0.17257696390151978, 1.1672828197479248, 2.1611249446868896, -3.0363197326660156, 1.8982765674591064]"
1120,"[-0.09784461557865143, -2.9676597118377686, -0.42756712436676025, -0.738023579120636, 0.6442640423774719, -1.5784986019134521, 0.8952828049659729, 1.0971890687942505, -1.1170281171798706, 1.8858389854431152]"
1130,"[0.5213128924369812, -2.586609363555908, 1.1425089836120605, -1.4559667110443115, 0.25837796926498413, -1.9633604288101196, 0.9278839826583862, 0.4019266664981842, -0.2178172618150711, 1.7389776706695557]"
1140,"[-1.7806333303451538, -0.8879079222679138, 0.7678012251853943, 0.08580071479082108, 0.7269745469093323, -2.346996545791626, 1.5916827917099, 0.8861642479896545, -0.9718859791755676, -0.3548089265823364]"
1150,"[0.4301074743270874, -2.864471912384033, 1.6960641145706177, 0.09468952566385269, 1.2271413803100586, -1.0893038511276245, 1.3300080299377441, 1.7903696298599243, -0.8684232234954834, 0.3302958309650421]"
1170,"[-0.4693339467048645, -0.8935062885284424, 0.7909747958183289, -0.5268964767456055, 0.4887765944004059, 0.400151789188385, 0.5914949774742126, -0.00010291292710462585, -0.6724454760551453, 0.7631883025169373]"
1180,"[-0.8248056769371033, -2.117034435272217, 0.07957281172275543, 0.10920874774456024, 0.5295642018318176, -0.21011170744895935, 1.30021333694458, 0.3376788794994354, 0.16592594981193542, 0.9109824299812317]"
1190,"[-0.4882306158542633, -3.825899839401245, 0.4013870656490326, 1.1669033765792847, -0.2356048822402954, -1.3624950647354126, -0.24920755624771118, 1.984193205833435, -0.34573495388031006, 0.7210791707038879]"
1200,"[-0.0699908584356308, -3.552811861038208, -0.4262353479862213, -0.3663199841976166, 0.9870193004608154, -0.7856438755989075, 1.144582986831665, 0.6287422180175781, -1.4752253293991089, 2.407567024230957]"
1210,"[-0.7320991158485413, -2.880228281021118, -0.07551305741071701, -0.5357393026351929, 1.052107810974121, -1.4334907531738281, 0.4882051348686218, 1.669140100479126, -1.6628823280334473, 1.9326545000076294]"
1220,"[-0.20517078042030334, -3.1358771324157715, 0.7130041718482971, -0.1489332765340805, -0.25346311926841736, -1.0089097023010254, 0.41448312997817993, 2.4991326332092285, -1.4015558958053589, 2.0072174072265625]"
1230,"[0.19791464507579803, -4.0572404861450195, 0.9409406185150146, -0.5336094498634338, 1.587830662727356, -0.5765644311904907, 0.19401538372039795, 0.8678475618362427, -0.8980754017829895, 2.0136728286743164]"
1240,"[-0.16787265241146088, -2.904111862182617, -0.29524779319763184, -1.4043545722961426, 1.4578814506530762, -0.4865412414073944, 0.6147607564926147, 1.293908953666687, -1.4420808553695679, 2.2865824699401855]"
1250,"[-0.18235169351100922, -4.272536754608154, 0.5454812049865723, -0.01982853002846241, 0.35183650255203247, -2.371934413909912, 0.5906475782394409, 0.07394903898239136, -0.36907753348350525, 2.273820638656616]"
1260,"[-0.07687424123287201, -4.252676963806152, -0.3092924952507019, -1.762003779411316, 1.3489298820495605, -0.6439958214759827, -0.9537160396575928, 3.117551326751709, 0.3723401725292206, 1.4990638494491577]"
1270,"[-0.8615270853042603, -2.729506254196167, 0.248048797249794, -0.971531093120575, 1.2624810934066772, -1.3892509937286377, 0.8886427879333496, 1.1391693353652954, -1.7164627313613892, 1.6832280158996582]"
1280,"[0.20857340097427368, -3.742074489593506, -0.7533279657363892, 0.313750684261322, 2.1232528686523438, -1.3466871976852417, 0.24881774187088013, 1.481352686882019, -2.0757811069488525, 0.982042133808136]"
1290,"[-0.15229065716266632, -2.2350685596466064, -1.026624321937561, 1.2164052724838257, -0.872021496295929, -1.3625109195709229, 0.5521295070648193, 0.7103604674339294, -3.23821759223938, 2.6189446449279785]"
1300,"[0.16266056895256042, -2.4301140308380127, -1.056551218032837, -0.810779869556427, 1.9711054563522339, -1.9720715284347534, 0.16065984964370728, 1.222455382347107, -1.5231503248214722, 1.759753704071045]"
1310,"[0.3227549195289612, -3.1717677116394043, -0.4197006821632385, 0.38800475001335144, 1.2529524564743042, 0.7253024578094482, 1.4469996690750122, 1.9111391305923462, -0.37268197536468506, -0.43589097261428833]"
1320,"[-0.8347498774528503, -2.1417627334594727, 0.17181618511676788, -0.917320728302002, 1.1077250242233276, 0.687787652015686, 1.0446972846984863, 1.900213599205017, -1.0991383790969849, 2.2533066272735596]"
1330,"[0.40765783190727234, -1.0929431915283203, -0.3749288320541382, -1.0841706991195679, 0.9145799875259399, -0.5832569599151611, 0.9367157220840454, 0.7170384526252747, -0.6313759684562683, -0.193074569106102]"
1340,"[-0.469970703125, -2.962517738342285, -0.019238604232668877, -0.29296550154685974, 0.7038896083831787, -1.5510311126708984, 0.7849768400192261, 0.9534978866577148, -0.7946532964706421, 1.319155216217041]"
1350,"[0.326248437166214, -2.578559637069702, 0.1973818987607956, 0.48530834913253784, 0.4798816442489624, -2.0239250659942627, 1.1223275661468506, 0.919663667678833, -1.2179080247879028, 2.746185302734375]"
1370,"[-1.0131994485855103, -2.020551919937134, 0.5927728414535522, -0.719630777835846, 1.066888689994812, -1.0546082258224487, 0.5499218106269836, 1.3062297105789185, -2.1111466884613037, 0.7812381386756897]"
1380,"[-0.2243930846452713, -3.2473604679107666, -0.22321701049804688, -0.9831488728523254, 0.8116318583488464, -1.4967180490493774, 0.5638910531997681, 0.42333757877349854, -1.9610655307769775, -0.14762496948242188]"
1390,"[-1.278057336807251, -1.7974293231964111, 0.9338770508766174, -0.3791052997112274, 1.3901580572128296, -0.7832610607147217, -0.011045311577618122, -1.5158019065856934, -1.874245524406433, 1.3250811100006104]"
1430,"[-0.7737857699394226, -1.2899874448776245, -0.08362960070371628, -0.3865760862827301, 0.9202844500541687, -1.1224405765533447, 1.084368109703064, 1.3430620431900024, -0.8594115972518921, 1.205216646194458]"
1440,"[-0.42581847310066223, -1.2286738157272339, 0.15715007483959198, -0.42021098732948303, 0.2940438687801361, 0.1326064169406891, 0.2127278745174408, 0.16811968386173248, -0.852125346660614, 0.7256190776824951]"
1460,"[-0.30958235263824463, -1.012205958366394, 0.4205109179019928, -1.0075379610061646, 0.8370801210403442, -0.33405205607414246, -0.4398370385169983, 1.2127366065979004, -1.8270505666732788, 1.8045183420181274]"
1480,"[-0.6096137762069702, -2.899970054626465, 0.06819373369216919, 0.37787649035453796, 1.7916581630706787, -1.2658740282058716, 0.5715625286102295, 0.3383745551109314, -0.6723988056182861, 1.635001540184021]"
1490,"[0.27825838327407837, -1.7624605894088745, 0.267882764339447, 0.5753333568572998, -0.3752073347568512, 0.4149976670742035, 0.08343609422445297, 0.662655770778656, -0.26951149106025696, 1.092474102973938]"
1500,"[-0.7600961923599243, -3.4499831199645996, -0.45798182487487793, -0.691443145275116, -0.37918147444725037, -0.9950027465820312, 0.44002145528793335, 1.352489948272705, -1.6150778532028198, 1.9134243726730347]"
1550,"[-0.9642127752304077, -0.9301395416259766, -0.8226889967918396, 0.22566203773021698, 1.5255955457687378, -1.2965198755264282, 1.0093966722488403, 1.3017511367797852, -1.7149096727371216, -0.5255593657493591]"
1580,"[-0.784297525882721, -2.4755985736846924, -0.32991090416908264, -0.7259899973869324, 1.0263699293136597, -0.570810079574585, 0.6701589822769165, 1.0842821598052979, -2.0524587631225586, 1.5154510736465454]"
1590,"[0.6651948094367981, -1.205340027809143, 0.8875483870506287, 0.06011922284960747, 2.2856829166412354, 0.1775187999010086, 0.31723272800445557, 2.1081087589263916, -1.1480791568756104, 1.7248667478561401]"
1600,"[-0.22505725920200348, -2.4500081539154053, 0.29911401867866516, 0.2379208654165268, 1.1561558246612549, -0.6679709553718567, 1.7977964878082275, 0.007087256293743849, -1.469910979270935, 0.501677930355072]"
1610,"[-0.10595779120922089, -3.3059592247009277, 0.39157018065452576, -0.7647309899330139, 0.6881312727928162, -1.4712926149368286, 1.4778108596801758, 0.555303692817688, -1.2182793617248535, 1.6142388582229614]"
1620,"[-0.9147816896438599, -1.2269461154937744, -0.7137969136238098, 0.18512986600399017, 0.13487519323825836, -0.9579454660415649, 0.3895052671432495, -0.05700582265853882, -3.0675528049468994, 1.8701720237731934]"
1650,"[-1.1810133457183838, -3.2323901653289795, -0.6209389567375183, -0.17420853674411774, 0.3814191520214081, -1.9749600887298584, 0.18997052311897278, 0.5568355321884155, -0.7436130046844482, 0.8156635761260986]"
1660,"[-1.3022663593292236, -1.1274880170822144, -0.4854584038257599, -0.34887880086898804, 1.4023784399032593, -0.5208932161331177, 1.1615996360778809, 0.8713816404342651, -0.952978253364563, 0.7986251711845398]"
1670,"[-0.15322637557983398, -2.376938819885254, 1.3541971445083618, 0.39356741309165955, 1.1038281917572021, -1.3094433546066284, 0.8583959341049194, 0.23390908539295197, 0.5317424535751343, 1.8944077491760254]"
1680,"[0.45149579644203186, -2.9205362796783447, -1.1950204372406006, -0.4356040060520172, 0.8019837141036987, -1.9293397665023804, 0.1302926391363144, 0.8050524592399597, -2.2734806537628174, 0.833967387676239]"
1690,"[-0.28696849942207336, -2.226628065109253, 1.1694339513778687, 0.6095118522644043, 0.24083897471427917, 0.6627633571624756, 0.13483843207359314, 1.6100058555603027, -1.849767804145813, 2.0584352016448975]"
1730,"[-1.7187215089797974, -3.180711030960083, 1.8259353637695312, 0.23720484972000122, 0.5566866993904114, -0.03613646700978279, 1.5364660024642944, 0.7123254537582397, -0.9676352739334106, -0.12911029160022736]"
1760,"[0.3205374479293823, -2.481205463409424, -0.017588471993803978, -0.5778523087501526, -0.5215242505073547, -2.260045289993286, -0.5961729884147644, 0.4780251979827881, 1.031137228012085, 0.07372643798589706]"
1770,"[-0.2249300479888916, -2.0508570671081543, 1.1545201539993286, 0.39709463715553284, 0.029756249859929085, -0.023609638214111328, 0.19493897259235382, 1.4174290895462036, -0.2695826590061188, 1.6620601415634155]"
