id,features
430,"[0.8103752732276917, -0.33657437562942505, -0.09266900271177292, 0.13936711847782135, 0.4667993187904358, -0.3941061198711395, 0.9407959580421448, 0.595495879650116, -0.5390892624855042, 0.20825280249118805]"
440,"[-0.2709752321243286, -0.4414217472076416, 0.08460168540477753, -0.22113347053527832, 0.838941216468811, 0.035968098789453506, 0.005829743109643459, 0.5144383311271667, -0.5680264234542847, 0.2395475059747696]"
450,"[-0.0415307953953743, -0.1056135967373848, 0.17028215527534485, 0.06677927076816559, 0.7200051546096802, -0.954023540019989, 0.1785258799791336, 0.3400406241416931, -0.43427684903144836, 0.5623696446418762]"
460,"[0.08500837534666061, -0.32535678148269653, 0.4244382083415985, 0.0563805066049099, 0.2023121863603592, -0.8917433023452759, 0.16334395110607147, 0.29556694626808167, -0.5233445167541504, 0.3498915731906891]"
470,"[-0.4053260385990143, -0.411149799823761, 0.5572105646133423, -0.1610998809337616, 0.6226268410682678, -0.1073356419801712, -0.30251944065093994, 0.015471097081899643, -0.5501474142074585, 0.13597393035888672]"
480,"[-0.45105308294296265, -0.7143595218658447, 0.26492172479629517, 0.22462815046310425, 0.3253885507583618, -0.1524079442024231, 0.5222049355506897, -0.03573741018772125, -0.25017669796943665, 0.14180724322795868]"
490,"[0.07257571071386337, -0.5319928526878357, 0.18934856355190277, 0.2777339220046997, 0.4738716781139374, -0.25236231088638306, 0.056134987622499466, 0.3482884168624878, -0.05553201586008072, 0.32578232884407043]"
500,"[0.16404499113559723, -0.23642045259475708, 0.1361556351184845, -0.6508746147155762, -0.5165587067604065, -0.5070364475250244, 0.9597445130348206, 0.5487305521965027, -0.3955441117286682, 0.29890406131744385]"
510,"[-0.2502528429031372, -0.7693839073181152, 0.278111070394516, -0.33129897713661194, -0.5587515234947205, 0.11071710288524628, -0.09206867963075638, 0.4253314733505249, 0.11484599858522415, 0.4784982204437256]"
520,"[0.1566394567489624, -0.30088111758232117, 0.024288497865200043, 0.2171485424041748, 0.473204106092453, -0.6027457118034363, -0.06371810287237167, 0.12583932280540466, -0.804166853427887, 0.5268296003341675]"
530,"[-0.7233148217201233, -0.5293967127799988, 0.4303706884384155, 0.6787737011909485, 0.22633978724479675, -1.1117645502090454, -0.6731042861938477, -0.6319475769996643, -0.4640350341796875, 0.5057194232940674]"
540,"[-0.46757495403289795, -0.5364662408828735, -0.08157552033662796, 0.0570501871407032, 0.4970782399177551, -0.063016377389431, 0.3820996880531311, 0.2945038676261902, -0.4744795858860016, 0.2949410080909729]"
550,"[-0.016993414610624313, 0.21701249480247498, 0.5324020981788635, 0.2651769816875458, 0.48775702714920044, -0.30354079604148865, -0.28317785263061523, 0.014506992883980274, -1.4012984037399292, 0.8973784446716309]"
560,"[-0.11769881099462509, -0.43796199560165405, 0.20566175878047943, -0.0323919802904129, 0.350404292345047, -0.01134581584483385, 0.2169436514377594, 0.36834821105003357, -0.42470505833625793, 0.4216097891330719]"
570,"[-0.25731605291366577, -0.07533713430166245, -0.18746604025363922, 0.021963298320770264, 0.38833022117614746, -0.4809281527996063, 0.1929401308298111, 0.21255065500736237, -0.6289162635803223, 0.5341174602508545]"
580,"[0.24671566486358643, 0.027126269415020943, -0.23415236175060272, 0.10083082318305969, 0.31080731749534607, -0.10612696409225464, 0.7308254837989807, 0.3086281716823578, -0.9799334406852722, 0.697575569152832]"
590,"[-0.12263093888759613, -0.5492240190505981, 0.12460894137620926, -0.19417013227939606, 0.360765278339386, -0.45437857508659363, 0.09713483601808548, 0.08377046138048172, -0.25266316533088684, 0.2867957055568695]"
600,"[-0.29692965745925903, -0.5970650315284729, 0.26016107201576233, -0.0679173693060875, 0.17111915349960327, -0.25511065125465393, -0.3283205032348633, 0.7578123807907104, 0.11800140887498856, 0.10666918754577637]"
610,"[0.00034030506503768265, -0.429261714220047, -0.1287192553281784, -0.14550286531448364, 0.38862717151641846, -0.3299148678779602, 0.37731048464775085, 0.3125092387199402, -0.1946035772562027, 0.6700446605682373]"
1,"[-0.6774239540100098, -0.3505321145057678, 0.2879650592803955, -0.15564867854118347, 0.22799958288669586, -0.17749632894992828, 0.311192125082016, 0.2991545498371124, -0.4697587192058563, 0.7388013005256653]"
11,"[-0.12004521489143372, -0.3856658935546875, -0.24160858988761902, 0.30630290508270264, 0.4675859808921814, -1.0218430757522583, 0.435754656791687, 0.251346230506897, -0.611941397190094, 0.02158890850841999]"
21,"[-0.38065478205680847, 0.36556515097618103, 0.003480449551716447, -0.4727606773376465, 0.5971732139587402, -0.4026799201965332, 0.3605766296386719, 0.3694040775299072, -0.5702410936355591, 0.6755925416946411]"
31,"[-0.4259799122810364, -0.5748080015182495, 0.5654144883155823, 0.06366927176713943, 0.9561570286750793, 0.2271057665348053, 0.19553031027317047, 0.8205798864364624, -0.2793909013271332, -0.2083633840084076]"
41,"[-0.07092513144016266, -0.2691233158111572, -0.9230082035064697, 0.07549967616796494, -0.29611441493034363, -1.0399603843688965, 0.45741283893585205, 0.47242337465286255, -0.11250291764736176, 0.15522484481334686]"
51,"[-0.05657701566815376, -0.37785398960113525, 0.3092772662639618, -0.39303842186927795, 0.5142247080802917, -0.6287083029747009, -0.4178578555583954, -0.06176389008760452, -0.2234177589416504, 0.9888606071472168]"
61,"[0.19913600385189056, -0.536587119102478, 0.01810169778764248, 0.2093152552843094, 0.586676299571991, -0.2014152705669403, -0.13751856982707977, 0.5494416952133179, -0.20365585386753082, 0.40974435210227966]"
71,"[0.7801022529602051, 0.4085427224636078, 0.6233258843421936, -0.9683177471160889, 0.47386524081230164, -0.3512131869792938, 0.811451256275177, -0.18658648431301117, -1.5627036094665527, 0.3073802590370178]"
81,"[0.13636897504329681, -0.6484768986701965, -1.4196323156356812, 0.18651176989078522, 1.591748833656311, -0.2596058249473572, -1.2378947734832764, -1.176632046699524, -0.4485838711261749, 0.3888213634490967]"
91,"[0.3168427348136902, -0.3294520378112793, 0.5148026347160339, -0.18694782257080078, 0.2739627957344055, -0.031215809285640717, 0.3003879487514496, 0.38399338722229004, -0.33365491032600403, 0.7097436785697937]"
101,"[-0.06764819473028183, -0.46507570147514343, 0.054895494133234024, 0.10918111354112625, -0.3131846487522125, -0.35375240445137024, 0.3296232223510742, 0.6593584418296814, -0.204040065407753, 0.5321452617645264]"
111,"[-0.5725955367088318, -0.28342145681381226, 0.007023033685982227, -0.08479084819555283, 0.5080293416976929, -0.31310316920280457, 0.5454075932502747, 0.5502942800521851, -0.3626950979232788, -0.30626219511032104]"
121,"[0.11432107537984848, -0.02156709134578705, -0.040047939866781235, 0.12770256400108337, 0.20662684738636017, -0.8951714038848877, 0.38523659110069275, 0.5218957662582397, -0.8295577764511108, 0.1605832427740097]"
131,"[-0.07050935924053192, -0.4750940501689911, -0.20933546125888824, -0.008966934867203236, 0.4485032260417938, -0.025187911465764046, 0.34100088477134705, 0.2901202142238617, -0.19067740440368652, 0.274416983127594]"
141,"[0.36317023634910583, -0.2138226479291916, -0.04676700010895729, 0.2013244330883026, 0.3166408836841583, -0.6376561522483826, 0.006881111301481724, 0.2918044924736023, -0.723430335521698, 0.419279009103775]"
151,"[0.44644397497177124, -0.7371185421943665, 0.02626996859908104, -0.2998683750629425, 0.34753111004829407, 0.0884009450674057, 0.1371368020772934, -0.0897250846028328, -0.7642506957054138, 0.19402234256267548]"
161,"[0.06335175037384033, -0.11840163171291351, 0.8256134390830994, -1.2501187324523926, -0.016775747761130333, -1.058035969734192, -0.8583182096481323, 0.620846152305603, -0.2539587616920471, 0.4369489252567291]"
171,"[0.2633514106273651, -0.4013160765171051, 0.4943614900112152, 0.023102888837456703, 0.5631580352783203, -0.444585919380188, -0.03997325897216797, 0.6306979060173035, -0.5726496577262878, 0.3894408941268921]"
181,"[-0.23729224503040314, -0.33854421973228455, 0.18757832050323486, -0.4405421316623688, 0.3519304692745209, -0.9014410376548767, -0.1414295881986618, -0.36231765151023865, -0.43453699350357056, -0.030705150216817856]"
191,"[0.8218033313751221, -0.5993542075157166, -0.1973736435174942, 0.011091228574514389, 0.6400436162948608, -0.5267735123634338, 0.013881719671189785, -0.022576479241251945, 0.0799030140042305, 0.6444908380508423]"
201,"[0.09053196758031845, -0.6104961633682251, 0.02209078148007393, -1.045266032218933, -0.013873210176825523, -0.38183823227882385, 0.12002395838499069, 0.3997727930545807, -0.831006646156311, -0.13999713957309723]"
211,"[-0.33403733372688293, -0.20314495265483856, 0.5262811183929443, -0.31906676292419434, 0.0922505185008049, -0.47432708740234375, 0.1728358417749405, -0.30050334334373474, -0.8130574226379395, 0.8266751170158386]"
221,"[0.1627112627029419, -0.6302794814109802, -0.21207135915756226, 0.309192031621933, 0.4182296395301819, -0.2586725354194641, 0.14697302877902985, 0.3261069655418396, -0.2969490587711334, 0.34015414118766785]"
231,"[-0.052944742143154144, 0.027402009814977646, 0.5907613635063171, 0.0016785409534350038, 0.1599067747592926, 0.9057061672210693, 0.17733952403068542, 0.2055581957101822, -0.8338783383369446, 1.5232195854187012]"
241,"[-0.23392623662948608, -0.3900373876094818, 0.3677642345428467, 0.3983764946460724, 0.4407314956188202, -0.20182713866233826, 0.36333930492401123, -0.050537701696157455, -0.7546945810317993, 0.2493799328804016]"
251,"[-0.30243366956710815, -0.39231833815574646, -0.11023640632629395, 0.2812705636024475, 0.9687065482139587, -0.7219864130020142, 0.4520193040370941, -0.14507344365119934, -0.2936782240867615, 0.49682390689849854]"
261,"[0.04015373811125755, -0.39865270256996155, 0.6079515218734741, 0.5596214532852173, 0.39233189821243286, -1.0189157724380493, -0.45059216022491455, -0.5135538578033447, -0.7810091972351074, 0.7871167063713074]"
271,"[-0.12502925097942352, -0.46090584993362427, -0.06518568098545074, -0.45498716831207275, 0.9010923504829407, -0.03733912482857704, 0.20534630119800568, 0.15265177190303802, -0.12989087402820587, 0.14279556274414062]"
281,"[-0.8857467770576477, -0.723125159740448, -0.5651588439941406, 0.5960413217544556, 0.5858761072158813, 0.19377191364765167, 0.0001845729857450351, 1.103845238685608, -0.13983318209648132, -0.70354825258255]"
291,"[-0.8181684017181396, -1.0998820066452026, -0.5568087100982666, -0.0019328066846355796, -0.46540525555610657, -0.3955657184123993, 0.9511317014694214, -0.9775172472000122, -1.3805691003799438, -0.159338116645813]"
301,"[-0.49997207522392273, -0.5477424263954163, 0.2631669342517853, 0.9758490324020386, 0.09474706649780273, -1.1096550226211548, -0.3190878629684448, -0.41372233629226685, -0.1517423540353775, 0.6629503965377808]"
311,"[-0.37452590465545654, -0.06821077316999435, -1.8734474182128906, 1.3962265253067017, 0.7236688733100891, 0.015624753199517727, 0.36134347319602966, 0.13254547119140625, -0.07699214667081833, 0.8537711501121521]"
321,"[-0.021045103669166565, -0.02723960392177105, 0.38388291001319885, 0.4437352418899536, 1.2172473669052124, -0.49915066361427307, -0.6306294798851013, 0.1848095804452896, -0.7449474930763245, 0.18562637269496918]"
331,"[0.5303784012794495, -0.300037145614624, 0.4411012828350067, 0.14054016768932343, 1.0238312482833862, -0.7020740509033203, 0.613099992275238, 0.36662277579307556, 0.0425594188272953, 0.39371663331985474]"
341,"[-0.028032641857862473, -0.7047972083091736, 0.19081026315689087, 0.26725539565086365, 0.21062861382961273, -0.01552423182874918, -0.42422133684158325, 0.924477219581604, -0.5788522958755493, -0.0988958477973938]"
351,"[-0.4193549156188965, -0.47802668809890747, 0.617615282535553, 0.340909481048584, 0.48888087272644043, -0.09438442438840866, 0.18716484308242798, 0.058725155889987946, -0.6250287890434265, 0.25075456500053406]"
361,"[-0.17152798175811768, 0.44483593106269836, 0.06114250421524048, -0.11575037986040115, 0.5387086868286133, -0.3767113983631134, 0.49939894676208496, -0.04874878749251366, -1.2425867319107056, 0.5134470462799072]"
371,"[-0.3166940212249756, -0.3222842514514923, 0.06634094566106796, 0.2028460055589676, 0.5654006600379944, -0.24475924670696259, 0.38043564558029175, 0.31806251406669617, -0.8219641447067261, 0.4869958758354187]"
381,"[0.02515924535691738, -0.4766070544719696, 0.01919645071029663, 0.38980814814567566, 0.2157866507768631, -0.8104450702667236, 0.10254918038845062, 0.011334164068102837, -0.7407487630844116, 0.13447274267673492]"
391,"[0.17996947467327118, -0.893104612827301, 0.7255793213844299, -0.15709638595581055, 0.008761418983340263, -0.6475688815116882, 0.1993129849433899, 0.18019188940525055, 0.2545085549354553, 0.14038468897342682]"
401,"[-0.17048388719558716, -0.2621057331562042, 0.1278422325849533, -0.003979085013270378, 0.2789720296859741, -0.4283671975135803, 0.19659464061260223, 0.8930754661560059, -0.29041776061058044, -0.16540786623954773]"
411,"[0.33172672986984253, -0.07418639957904816, 0.5617456436157227, 0.002908530179411173, 0.8653278350830078, -0.6259176731109619, -0.03209025040268898, 0.15684553980827332, -0.6907467246055603, 0.12984831631183624]"
421,"[0.2534683048725128, -0.8105694651603699, 0.560492217540741, -0.20124006271362305, 0.5763945579528809, 0.5626979470252991, 0.16857020556926727, 0.30441102385520935, -0.8053590059280396, 0.028216037899255753]"
431,"[-0.7101323008537292, -0.6236585974693298, 0.2341940551996231, 0.3438459038734436, 0.29461315274238586, 0.1491812765598297, 0.08349227905273438, 0.24380818009376526, 0.07027076184749603, 0.78626549243927]"
441,"[-0.41615626215934753, 0.388720840215683, -0.1730951964855194, -0.7243662476539612, 0.2032979279756546, 0.35410821437835693, 0.11544869095087051, 0.9350224733352661, -0.7746034860610962, 1.28756582736969]"
451,"[0.8504059910774231, -0.3037397563457489, 0.26498937606811523, -0.14536097645759583, 0.6843551397323608, -1.1734778881072998, -0.5307531952857971, 0.26535385847091675, 0.05115858092904091, 0.875400722026825]"
461,"[-1.1950809955596924, -2.537722587585449, -3.1470625400543213, 0.5610052943229675, -0.7678789496421814, 0.6498748064041138, 0.7801050543785095, 1.3333401679992676, -0.8977318406105042, -3.5010018348693848]"
471,"[0.5630021095275879, 0.0279372651129961, 0.034057363867759705, 0.015891829505562782, 1.0448660850524902, -1.0290446281433105, 0.026355741545557976, 0.6170511841773987, -0.028086090460419655, 0.4466703534126282]"
481,"[-0.810920774936676, -0.7396863698959351, -0.17063838243484497, 0.3998190462589264, 0.907498836517334, -0.5583266019821167, -0.6809542775154114, 0.03147497773170471, -0.24095091223716736, -0.05798453837633133]"
491,"[-0.15355746448040009, -0.07187830656766891, 0.5105940103530884, -0.10075979679822922, 0.9063696265220642, -0.35570627450942993, -0.0030941690783947706, 0.948563814163208, -0.565060555934906, 0.10838153958320618]"
501,"[0.2489335685968399, -0.50382000207901, 0.6726937890052795, -0.9759283661842346, 0.6643961071968079, 0.6982300877571106, -0.41784992814064026, 0.25032785534858704, -0.6685072183609009, -0.18689994513988495]"
511,"[-0.10373340547084808, -0.42109590768814087, 0.04616568982601166, -0.09047936648130417, 0.4480827748775482, -0.617601752281189, 0.398699015378952, 0.21581952273845673, -0.3929276764392853, 0.3839912414550781]"
521,"[0.25168269872665405, -0.7468463182449341, 0.09110234677791595, -0.09028018265962601, 0.5298231244087219, -0.1933523267507553, 0.31401804089546204, 0.02442697249352932, -0.5277402997016907, -0.1079792007803917]"
531,"[1.1382675170898438, 0.47710248827934265, -0.8458261489868164, -0.031647950410842896, 0.7342629432678223, -1.3141595125198364, 1.5421241521835327, 0.7152004241943359, -1.2388098239898682, 0.4849011301994324]"
541,"[-0.35151854157447815, -0.5517650842666626, 0.39629095792770386, -0.5584555268287659, 0.4403063654899597, -0.1943022757768631, -0.2796987295150757, -0.4618224501609802, -0.5842381715774536, 0.18367619812488556]"
551,"[0.45958560705184937, -0.18143753707408905, 0.08316152542829514, -0.2404092401266098, 0.26991671323776245, -0.3674499988555908, 0.503241240978241, -0.29189780354499817, -1.582847237586975, 0.05643579736351967]"
561,"[0.014782414771616459, -0.5642361044883728, 0.1268082559108734, -0.2335788756608963, 0.24424712359905243, -0.1886858195066452, -0.017648298293352127, 0.12227605283260345, -0.2910015881061554, 0.597490668296814]"
571,"[0.24524043500423431, -0.14872215688228607, -0.03183189406991005, 0.13976310193538666, -0.08219750225543976, -0.8345106840133667, 0.18780925869941711, 0.8055583834648132, -0.06097033992409706, 0.54508376121521]"
581,"[-0.253468781709671, -0.6517671346664429, -0.3451839089393616, -0.26060590147972107, 0.4970548152923584, -0.4554297626018524, 0.2699258029460907, 0.49788644909858704, -0.2654319703578949, -0.050091326236724854]"
591,"[0.05207788944244385, 0.04245816543698311, -0.461526483297348, -0.5090416073799133, -0.4381285309791565, -0.6009799838066101, -0.2083749771118164, 0.8801203370094299, -1.0257673263549805, 0.25590676069259644]"
601,"[-0.05745499208569527, -0.23036625981330872, 0.3111136257648468, -0.21862845122814178, 0.3816472589969635, -0.590183675289154, 0.32813194394111633, 0.5608537793159485, -0.3713073134422302, 0.4441870450973511]"
2,"[-0.2332044541835785, -0.12434974312782288, 0.41697797179222107, -0.13247279822826385, -0.02842099964618683, -0.14047379791736603, 0.9562270641326904, 0.05133681371808052, -0.8062748908996582, 0.465756356716156]"
12,"[-0.023677462711930275, -0.09801757335662842, 0.15949006378650665, 0.2038305252790451, 0.3890102505683899, -0.5667515993118286, 0.387112021446228, 0.48256269097328186, -1.326087474822998, -0.026717189699411392]"
22,"[0.09082544595003128, -0.557833731174469, 0.4533446431159973, -1.0749056339263916, 0.39202335476875305, 0.05752593278884888, 1.957074522972107, -0.4774801433086395, 0.43701332807540894, 0.43770498037338257]"
32,"[0.1024818941950798, -0.7175991535186768, 0.8875160813331604, -0.03523816540837288, 0.49467360973358154, -0.31844228506088257, -0.11480120569467545, 0.08014870434999466, -0.10279940813779831, 0.34435731172561646]"
42,"[0.446349561214447, -0.5914981365203857, 0.4166578948497772, -0.3721143305301666, -0.23566383123397827, -0.2526884377002716, 0.37816324830055237, 0.0020310848485678434, -0.639672040939331, 0.653408944606781]"
52,"[-0.3773728311061859, -0.5616397857666016, 0.01081419363617897, 0.1377415806055069, -0.13702473044395447, -0.2896002531051636, 0.20225444436073303, 0.28099188208580017, -0.9211611151695251, 0.2141641080379486]"
62,"[-0.10987652093172073, -0.36777251958847046, 0.4068809747695923, -0.008728607557713985, 0.6693568229675293, -0.43987223505973816, 0.29407063126564026, 0.6471802592277527, -0.18360909819602966, 0.3193850815296173]"
72,"[-0.3306277394294739, -0.32984432578086853, 0.3273622393608093, 0.12316752970218658, 0.46229809522628784, -0.31479012966156006, 0.022706832736730576, 0.5005586743354797, -0.4353426396846771, 0.5002296566963196]"
82,"[-0.4779967665672302, -0.0960182324051857, 0.21654851734638214, 0.2565307915210724, 0.07433778047561646, -0.006332943681627512, -0.11664396524429321, 0.1639019250869751, -1.0632468461990356, 0.6078118085861206]"
92,"[0.13715486228466034, -0.5164299607276917, 0.2535317838191986, -0.2036190629005432, 0.05876270309090614, -0.11179972440004349, 0.44409090280532837, 0.8052420616149902, -0.5598245859146118, -0.052036307752132416]"
102,"[-0.19462838768959045, -0.1221211850643158, -0.03656179830431938, -0.29785293340682983, 0.6272788643836975, -0.6603413820266724, -0.48445847630500793, 0.3048751652240753, -0.213835209608078, 0.8328099250793457]"
