word,vector
1965,"[-0.0039618369191884995,-0.0739699974656105,-0.08788178861141205,-0.09001282602548599,-0.15812581777572632]"
103772,"[-0.09308436512947083,0.16528534889221191,-0.04214664548635483,-0.003585580037906766,-0.029607053846120834]"
7056,"[-0.018320070579648018,0.03679657727479935,-0.08743921667337418,0.04221853241324425,-0.12798938155174255]"
6218,"[-0.3024371266365051,0.34757956862449646,-0.2734679579734802,0.023579709231853485,-0.30530470609664917]"
55872,"[-0.15618279576301575,0.016862329095602036,-0.11857668310403824,0.09334449470043182,0.010933645069599152]"
1856,"[-0.02796217054128647,-0.10486551374197006,-0.04214108735322952,0.06646419316530228,-0.09764063358306885]"
48262,"[-0.02174289897084236,0.01356146764010191,-0.08088938146829605,0.07018230110406876,-0.039460211992263794]"
4370,"[-0.1607077717781067,-0.026266146451234818,-0.14290057122707367,-0.14020663499832153,-0.29520678520202637]"
42422,"[-0.03225713595747948,-0.005519147031009197,-0.10990443825721741,-0.10345438122749329,0.07136461138725281]"
3745,"[-0.12217451632022858,0.07577104866504669,-0.057391658425331116,0.0005871036555618048,-0.1706485152244568]"
42725,"[-0.06623788923025131,-8.849799633026123e-05,-0.08272001147270203,0.036445438861846924,-0.07891776412725449]"
166946,"[-0.08493255078792572,0.10571696609258652,-0.07940609753131866,-0.0261135995388031,-0.12766636908054352]"
5915,"[-0.14832691848278046,0.11078569293022156,-0.09073387086391449,-0.05697985365986824,-0.0011120953131467104]"
4936,"[0.022362176328897476,-0.014623405411839485,-0.06889736652374268,-0.013571137562394142,0.05975954234600067]"
1699,"[0.025020701810717583,-0.07520055770874023,-0.096585713326931,0.05538395792245865,0.02991374582052231]"
85412,"[-0.004227031953632832,-0.03186241164803505,0.03100523352622986,-0.028386039659380913,0.027446245774626732]"
92475,"[-0.0870828777551651,-0.0036723706871271133,-0.1486692577600479,0.009971999563276768,-0.026164470240473747]"
32511,"[-0.017062228173017502,0.0728636160492897,0.004549557343125343,0.07238917052745819,-0.11164897680282593]"
113741,"[0.019405655562877655,-0.0821443572640419,-0.11450313031673431,0.014058282598853111,-0.07381165772676468]"
38159,"[-0.02090003341436386,0.09033443033695221,-0.07101553678512573,-0.019970007240772247,-0.06996478140354156]"
619,"[0.059047382324934006,0.04854292795062065,-0.03262132406234741,-0.011333651840686798,-0.046947285532951355]"
2175,"[-0.03401115536689758,0.03194516897201538,0.02863870933651924,0.059143371880054474,0.028452079743146896]"
151315,"[-0.04651689529418945,0.09972862899303436,-0.04882102459669113,-0.04041639715433121,0.056299418210983276]"
51834,"[-0.11999671161174774,-0.08048395812511444,-0.10625489056110382,-0.01518175844103098,0.020686732605099678]"
94150,"[-0.13271547853946686,0.11878618597984314,-0.10939465463161469,-0.08310958743095398,0.02529997006058693]"
3379,"[-0.058866847306489944,0.07204429805278778,-0.09910989552736282,0.022822313010692596,0.05011409893631935]"
507,"[0.10487893968820572,-0.1508755385875702,-0.15955103933811188,-0.06889649480581284,0.07071533799171448]"
2916,"[-0.2197565734386444,0.018109221011400223,0.050600774586200714,0.5943191647529602,-0.0872378721833229]"
65088,"[-0.21187832951545715,0.12739454209804535,-0.14108316600322723,-0.02806774526834488,-0.0964345708489418]"
4965,"[0.009637190029025078,0.07702583819627762,0.0344039648771286,0.01377627719193697,0.03491196408867836]"
113,"[-0.02471090666949749,-0.09515537321567535,-0.004476951435208321,-0.03870325908064842,-0.04909045621752739]"
34,"[0.9930570721626282,-0.7850810885429382,-0.34343066811561584,0.4069368839263916,0.054306160658597946]"
102066,"[-0.09585314989089966,-0.08989083766937256,0.050574466586112976,-0.019185928627848625,-0.024127304553985596]"
55908,"[-0.1429663598537445,0.05038312450051308,-0.21235139667987823,0.04891115054488182,-0.04142491891980171]"
56908,"[-0.026538219302892685,-0.07660996168851852,-0.12244230508804321,0.04629237577319145,-0.017117386683821678]"
3753,"[-0.08428208529949188,0.2334296852350235,-0.04013707861304283,0.09587939828634262,-0.3885844647884369]"
117176,"[-0.12900161743164062,0.04287717118859291,-0.178596630692482,0.04306585341691971,-0.12944521009922028]"
563,"[0.050986479967832565,0.0054772598668932915,-0.05399520322680473,0.034095633774995804,-0.011913561262190342]"
26606,"[-0.1507514864206314,0.009457693435251713,0.014861459843814373,0.03776589035987854,0.006284934934228659]"
135133,"[-0.11828172206878662,0.09077054262161255,-0.09056919813156128,-0.05782146751880646,-0.06261300295591354]"
381,"[0.07089902460575104,-0.17189188301563263,-0.15297354757785797,-0.02800317294895649,-0.009695292450487614]"
58309,"[-0.08866094052791595,0.15223635733127594,-0.011999642476439476,0.06257759034633636,-0.12110678851604462]"
112290,"[-0.15320202708244324,-0.014337648637592793,-0.12426309287548065,-0.03553871065378189,-0.05556809902191162]"
2594,"[-0.20473961532115936,-0.049026306718587875,0.0751345232129097,-0.001482826890423894,-0.004091246519237757]"
7206,"[-0.13330534100532532,0.036270782351493835,-0.22371798753738403,0.08623361587524414,0.008222376927733421]"
26409,"[0.07704329490661621,-0.06657841801643372,-0.051391564309597015,-0.005726877599954605,0.05280275642871857]"
141816,"[-0.3102779984474182,0.07896767556667328,-0.3578478693962097,0.021062199026346207,-0.10396857559680939]"
455,"[0.11397961527109146,-0.2096019834280014,0.07786650210618973,-0.08725802600383759,0.10552209615707397]"
8928,"[-0.09122225642204285,0.0599229596555233,0.030810553580522537,0.050937119871377945,0.019941095262765884]"
87522,"[-0.07489210367202759,0.08778110146522522,0.061280906200408936,-0.056415773928165436,-0.053811561316251755]"
2243,"[-0.22734564542770386,0.12432996183633804,-0.07653626799583435,0.04296548664569855,-0.03185374289751053]"
89904,"[-0.4105975031852722,0.13448402285575867,-0.11829014122486115,-0.022912118583917618,-0.02079079858958721]"
7062,"[0.009409752674400806,0.07374254614114761,-0.13546602427959442,-0.07603324204683304,0.021428529173135757]"
70293,"[0.042418330907821655,0.1399969756603241,0.00898772943764925,-0.06580991297960281,-0.01939472183585167]"
4280,"[-0.15270762145519257,-0.08888997882604599,-0.17485640943050385,0.029451481997966766,0.015434106811881065]"
2739,"[-0.015213890001177788,-0.21168169379234314,0.021565215662121773,0.07891926169395447,-0.13758723437786102]"
4813,"[-0.11818496882915497,0.07300471514463425,-0.04461108148097992,-0.03283867612481117,-0.0873454213142395]"
4211,"[-0.11475802958011627,-0.054239578545093536,-0.19447867572307587,-0.14460580050945282,-0.032991599291563034]"
388,"[0.05526065081357956,-0.028188971802592278,-0.10963685065507889,0.004151101689785719,0.00861302763223648]"
4857,"[-0.18649984896183014,0.10189210623502731,-0.12407796084880829,-0.13243362307548523,-0.10427511483430862]"
64501,"[-0.007251500152051449,0.02387441322207451,-0.007593430578708649,-0.09694419056177139,0.011703883297741413]"
5625,"[-0.0521448478102684,-0.06048740819096565,0.009025683626532555,-0.011630378663539886,-0.04735737666487694]"
188189,"[-0.1028934046626091,0.057090651243925095,-0.049733035266399384,0.07584172487258911,0.029390135779976845]"
2521,"[0.04181971400976181,0.012614146806299686,-0.03033265471458435,-0.0895749032497406,-0.07584485411643982]"
180045,"[-0.15658335387706757,-0.06061854958534241,-0.04684673994779587,-0.03195251524448395,0.0703907310962677]"
88345,"[-0.07463382184505463,-0.07176274061203003,-0.007049155421555042,-0.09741239249706268,-0.04553256183862686]"
5065,"[0.04062070697546005,-0.013812793418765068,-0.06321505457162857,0.09638302028179169,-0.1152879074215889]"
7318,"[-0.06830285489559174,0.015602223575115204,-0.20856201648712158,0.08128707855939865,-0.03999383747577667]"
114935,"[-0.13604429364204407,0.07388840615749359,-0.20655865967273712,0.03691191226243973,-0.18352791666984558]"
5788,"[-0.016838613897562027,0.0003225291147828102,-0.0952872484922409,0.059618137776851654,-0.019240770488977432]"
3728,"[-0.1279495805501938,0.07297433912754059,-0.19625422358512878,0.08734680712223053,-0.03449753671884537]"
52458,"[-0.14922106266021729,-0.02133040502667427,0.13073290884494781,0.033889710903167725,0.028961192816495895]"
2206,"[-0.04019899666309357,0.026651186868548393,-0.1118379533290863,0.013126673176884651,0.01322175282984972]"
88746,"[-0.027085203677415848,-0.06813333928585052,-0.040057338774204254,-0.06906719505786896,-0.11409809440374374]"
2829,"[-0.05253622680902481,0.09018326550722122,-0.017407573759555817,0.10904992371797562,-0.08265576511621475]"
42556,"[-0.045682333409786224,-0.0045649828389286995,-0.17124727368354797,-0.10835962742567062,-0.021569235250353813]"
7255,"[-0.1187935397028923,-0.07378583401441574,0.04380248486995697,0.09425638616085052,-0.11390059441328049]"
167018,"[-0.36326172947883606,-0.0019532297737896442,-0.26791805028915405,-0.04159559682011604,-0.1557234674692154]"
147657,"[0.014463433064520359,0.048939526081085205,0.054150909185409546,0.08624442666769028,0.08622156083583832]"
56921,"[-0.19005179405212402,-0.028238747268915176,-0.02520252950489521,0.015215544030070305,0.04387226328253746]"
91784,"[-0.14057186245918274,0.03196355700492859,-0.10873407870531082,-0.050382863730192184,-0.10241352766752243]"
5389,"[0.049309901893138885,0.087333545088768,0.09870437532663345,-0.03597209230065346,-0.004913514479994774]"
133771,"[-0.12528732419013977,-0.041209060698747635,-0.08520722389221191,-0.06623755395412445,0.025712694972753525]"
85401,"[-0.07543664425611496,0.09452242404222488,-0.0291711688041687,-0.05887250602245331,0.0004126718267798424]"
444,"[-0.0014422195963561535,0.05470852926373482,-0.04061136767268181,-0.05294639989733696,-0.050937335938215256]"
1401,"[-0.031228501349687576,0.05365467816591263,0.04831168055534363,-0.017043519765138626,-0.005420708563178778]"
7810,"[-0.1763254702091217,-0.013938264921307564,-0.21963946521282196,0.06275924295186996,-0.15052878856658936]"
144734,"[-0.10618753731250763,0.05800718814134598,-0.010337463580071926,-0.0020867418497800827,-0.06214843690395355]"
26693,"[-0.013432273641228676,0.02928893268108368,-0.08247262984514236,0.06962715834379196,-0.08645867556333542]"
193,"[0.06585696339607239,-0.10702231526374817,-0.1571660190820694,0.056419264525175095,0.05372874066233635]"
3453,"[-0.12423179298639297,0.05758732929825783,-0.09783706068992615,0.05238354951143265,-0.054520558565855026]"
6950,"[-0.07945863902568817,0.044733647257089615,0.05723929405212402,0.000770019949413836,0.012568838894367218]"
25825,"[-0.3043753504753113,0.14746689796447754,-0.17589886486530304,-0.12545453011989594,0.04886647313833237]"
1606,"[0.011462446302175522,-0.01565689593553543,-0.0670141950249672,-0.015936747193336487,-0.03639162331819534]"
2701,"[-0.15173128247261047,0.036006417125463486,0.1705254316329956,0.021305343136191368,-0.08158590644598007]"
5137,"[-0.09446621686220169,-0.05589590221643448,0.026784060522913933,0.0872514545917511,-0.1097075343132019]"
33830,"[-0.05343937873840332,0.08917943388223648,-0.06721840798854828,0.08093161135911942,-0.042922668159008026]"
5527,"[-0.15181054174900055,0.07688897848129272,-0.028479401022195816,0.07644609361886978,0.010478368028998375]"
2346,"[-0.13552185893058777,0.030978720635175705,-0.02964368462562561,0.04236442223191261,-0.10487617552280426]"
302,"[-0.05839727073907852,-0.10418249666690826,0.007903779856860638,-0.07937400043010712,0.042509857565164566]"
2820,"[-0.08251471072435379,-0.06678741425275803,0.053983598947525024,-0.04332384839653969,0.013390252366662025]"
62081,"[-0.0224592424929142,0.056913599371910095,-0.04099161922931671,-0.08133803308010101,-0.030538614839315414]"
1474,"[0.040184102952480316,0.0867447778582573,0.05397402495145798,-0.05671287700533867,0.06948882341384888]"
27416,"[-0.061763010919094086,-0.028733139857649803,0.035236891359090805,-0.007368415128439665,-0.03896813094615936]"
2779,"[-0.07348638027906418,0.0732802301645279,-0.11388251185417175,0.023345690220594406,0.028274226933717728]"
1394,"[-0.28115999698638916,-0.28675010800361633,0.3059227168560028,-0.2513289451599121,-0.31354647874832153]"
4802,"[-0.09133923798799515,-0.0730074942111969,-0.08988000452518463,-0.05820709466934204,0.0363335981965065]"
59037,"[-0.08151662349700928,-0.03186751902103424,-0.0006683943793177605,-0.04906238988041878,-0.02636958472430706]"
27846,"[-0.3564915060997009,-0.008662217296659946,-0.07090215384960175,-0.1302705556154251,-0.03002006560564041]"
115617,"[-0.17569898068904877,0.05141393095254898,-0.17050617933273315,-0.04583583399653435,-0.26131492853164673]"
143458,"[0.07257648557424545,0.034978628158569336,-0.06195874512195587,0.004361017141491175,0.04441440850496292]"
26614,"[-0.08837597817182541,-0.007095947861671448,0.07594272494316101,0.06941290944814682,-0.009956630878150463]"
153,"[0.4829202890396118,-0.6392092704772949,-0.23844081163406372,0.13076061010360718,-0.03633110597729683]"
79702,"[-0.4109894335269928,0.10141891986131668,-0.12982197105884552,0.15844807028770447,-0.05335063114762306]"
3760,"[0.055097658187150955,0.09562807530164719,-0.0927250012755394,0.005248184781521559,-0.019631044939160347]"
34542,"[-0.05816865712404251,0.026306994259357452,-0.10001450031995773,-0.04641649127006531,0.0157016571611166]"
6793,"[0.007158311083912849,0.051369260996580124,-0.03179820626974106,0.03737631440162659,0.08893334865570068]"
3846,"[0.053224723786115646,0.1089409738779068,-0.15906019508838654,-0.06751348078250885,0.026360362768173218]"
51935,"[-0.19105015695095062,0.13582728803157806,0.06180940568447113,-0.09188123792409897,0.011931218206882477]"
8491,"[-0.047131381928920746,-0.047487664967775345,0.03990296646952629,-0.008075570687651634,-0.029543425887823105]"
40697,"[0.02312326803803444,0.050845611840486526,0.06425762176513672,0.049005236476659775,0.016715053468942642]"
33310,"[-0.007016279269009829,0.05788292735815048,-0.056774042546749115,-0.027412258088588715,-0.0183113981038332]"
6086,"[-0.07264824211597443,0.10259098559617996,0.039827100932598114,0.016087519004940987,-0.005818631500005722]"
7061,"[-0.1211465448141098,0.011482760310173035,-0.12337350100278854,0.055983997881412506,-0.04996895045042038]"
31435,"[-0.046528466045856476,-0.0026767728850245476,-0.0716208964586258,0.012166952714323997,0.013151475228369236]"
3037,"[-0.15325142443180084,0.16718807816505432,-0.14772681891918182,0.31046974658966064,-0.024660013616085052]"
170357,"[-0.28684353828430176,-0.09768573194742203,-0.3480318784713745,-0.051886796951293945,-0.21087700128555298]"
130490,"[0.023150864988565445,-0.015116583555936813,-0.07050048559904099,0.03932402282953262,-0.07078635692596436]"
74228,"[0.04613744840025902,0.025434322655200958,-0.07954276353120804,0.02614530734717846,0.08708825707435608]"
335,"[0.07583969831466675,-0.05209938436746597,-0.041248418390750885,-0.029254509136080742,0.04452022537589073]"
31804,"[-0.07851504534482956,-0.0996643528342247,0.09340351819992065,-0.04090311378240585,0.04282330349087715]"
6156,"[-0.2209489345550537,0.10180287063121796,-0.19025716185569763,0.0010101187508553267,-0.0948863998055458]"
27619,"[-0.05006497725844383,-0.017224257811903954,-0.0674690529704094,0.02611912041902542,-0.09134858101606369]"
2003,"[0.08051041513681412,-0.12586265802383423,-0.06562326103448868,-0.05375063419342041,-0.0634039118885994]"
735,"[-0.0628887340426445,0.015410549007356167,-0.03849056735634804,-0.08500438928604126,-0.02059529908001423]"
93,"[0.08908586949110031,-0.015380044467747211,-0.03378972038626671,-0.03677050769329071,0.0812823697924614]"
7151,"[0.061394091695547104,0.1620156466960907,-0.15505290031433105,0.04302654042840004,-0.012689748778939247]"
182823,"[-0.12306569516658783,0.10087816417217255,-0.20005163550376892,0.005850414279848337,-0.08399776369333267]"
26236,"[-0.21721789240837097,-0.027637112885713577,-0.18318785727024078,-0.06457576900720596,-0.034678585827350616]"
158,"[0.1931382119655609,-0.33767086267471313,-0.12343331426382065,-0.019682548940181732,0.06529723107814789]"
56915,"[-0.1654079407453537,-0.039030663669109344,-0.00540810264647007,-0.030434276908636093,-0.11917775124311447]"
88069,"[-0.06399234384298325,-0.0639735758304596,-0.0925130546092987,0.04486839845776558,-0.03490476310253143]"
89580,"[-0.14441770315170288,0.024932321161031723,-0.04491628706455231,-0.02422344870865345,0.016610339283943176]"
168846,"[-0.22363781929016113,-0.11745898425579071,-0.20800605416297913,-0.09881201386451721,-0.20261210203170776]"
3990,"[-0.05447980761528015,0.060804273933172226,-0.02382965199649334,0.07157935947179794,0.022258108481764793]"
3535,"[-0.03235925734043121,0.07329054921865463,-0.11826582998037338,0.295632004737854,-0.29472559690475464]"
4103,"[-0.13643106818199158,0.09834640473127365,-0.15283185243606567,0.005577876698225737,-0.12119252979755402]"
87287,"[-0.055081531405448914,-0.0594002828001976,-0.08654219657182693,0.08370600640773773,-0.059747956693172455]"
58425,"[-0.04089988395571709,0.04226071015000343,-0.1447416990995407,0.08116302639245987,-0.06335479021072388]"
1267,"[-0.4867250323295593,-0.515464723110199,0.5389741659164429,-0.4015996754169464,-0.18698516488075256]"
1406,"[-0.017893487587571144,0.04448526352643967,-0.0678602010011673,-0.09441669285297394,-0.02130839414894581]"
27320,"[-0.004853818565607071,-0.11168894171714783,0.00772959366440773,-0.04733720421791077,-0.052138444036245346]"
5614,"[0.03845269978046417,0.0194440558552742,0.04182439669966698,-0.006555105093866587,-0.07572381943464279]"
134393,"[-0.26891204714775085,0.06050753593444824,-0.17977173626422882,-0.03345917910337448,0.009782267734408379]"
6244,"[-0.03446188196539879,-0.03801323100924492,0.048181772232055664,-0.010853377170860767,-0.011877629905939102]"
4738,"[-0.2038968950510025,0.0547649972140789,-0.22042837738990784,-0.0035876671317964792,-0.04949510842561722]"
1950,"[-0.002197918714955449,-0.07721517235040665,0.03561054915189743,0.10098268836736679,-0.0868411585688591]"
4639,"[-0.030905205756425858,-0.10141780227422714,0.04883749037981033,-0.13276563584804535,-0.07194869965314865]"
5577,"[-0.27430281043052673,0.20247645676136017,-0.2489330917596817,-0.12109623104333878,-0.10620782524347305]"
6776,"[-0.024198096245527267,0.058649592101573944,0.01948467455804348,0.007572823669761419,-0.08933958411216736]"
2074,"[-0.05201152339577675,-0.04934064298868179,-0.12137959152460098,-0.014679361134767532,0.004119887948036194]"
3551,"[-0.10305565595626831,0.07397317886352539,-0.14806325733661652,-0.020962147042155266,-0.15040215849876404]"
2905,"[0.0482996366918087,0.0015675821341574192,0.06652567535638809,0.13825929164886475,-0.006262066774070263]"
7050,"[-0.0897463709115982,0.025336429476737976,-0.07995282113552094,-0.120504230260849,-0.030551617965102196]"
7217,"[-0.009513484314084053,0.058742765337228775,-0.054748572409152985,-0.05125613883137703,0.07425796240568161]"
98607,"[-0.004696054384112358,0.09859908372163773,-0.03387343883514404,0.026185432448983192,-0.04091914743185043]"
31610,"[-0.1352466642856598,-0.09708288311958313,0.020141901448369026,0.012440244667232037,0.053674399852752686]"
5023,"[-0.08940225839614868,0.09972818940877914,-0.050515882670879364,-0.02928217127919197,-0.06326795369386673]"
37731,"[-0.1428402066230774,0.09730380028486252,0.04446889087557793,-0.06854088604450226,-0.08537576347589493]"
4195,"[-0.18605266511440277,0.05955737084150314,-0.07037930935621262,0.01914805732667446,-0.07749214768409729]"
79139,"[0.07978925853967667,0.13708823919296265,-0.007198560982942581,0.015751708298921585,0.025638464838266373]"
2807,"[-0.09060735255479813,0.0312626026570797,0.042670365422964096,-0.03548549488186836,-0.009468681178987026]"
3952,"[0.05968192592263222,-0.056806545704603195,-0.09409266710281372,0.02990499883890152,0.00960165448486805]"
150548,"[-0.37079718708992004,-0.11255137622356415,-0.30899202823638916,-0.04205599054694176,-0.17388834059238434]"
4171,"[-0.04067409783601761,0.1158766821026802,-0.1650429666042328,0.025730257853865623,-0.09096311777830124]"
2502,"[-0.6139230132102966,-0.3973267674446106,0.07885337620973587,0.573743462562561,-0.18110714852809906]"
3160,"[-0.14402733743190765,0.1728195697069168,-0.22440534830093384,0.3537135422229767,-0.25479423999786377]"
6659,"[-0.1517411470413208,0.150360569357872,-0.2097197324037552,-0.04818492755293846,-0.17847757041454315]"
3539,"[-0.03844308480620384,-0.08220712840557098,-0.03435683622956276,0.035485558211803436,0.09199081361293793]"
5995,"[-0.18839944899082184,0.2260807901620865,-0.08138535916805267,0.006778892129659653,-0.3410852551460266]"
3475,"[-0.0005301614291965961,0.02124965563416481,0.057402338832616806,0.054007139056921005,0.08813692629337311]"
1792,"[-0.011694768443703651,-0.06488927453756332,-0.007832936011254787,0.04373287409543991,0.05927341431379318]"
71466,"[-0.10401584953069687,0.06617338955402374,0.09442590177059174,0.07220277935266495,0.06167805194854736]"
7345,"[-0.11987180262804031,-0.02949248068034649,0.02192278765141964,0.07619604468345642,0.071522057056427]"
90531,"[-0.11319360882043839,0.14107324182987213,-0.18209654092788696,0.0707680732011795,-0.015616541728377342]"
27879,"[-0.18448904156684875,-0.03769262507557869,0.0323336087167263,-0.04930359125137329,-0.08538246154785156]"
147,"[0.24119997024536133,-0.2182871401309967,0.006520927883684635,0.07582366466522217,0.024637341499328613]"
5288,"[-0.055392540991306305,0.1354750543832779,-0.2857167422771454,0.059531427919864655,-0.06446827203035355]"
3251,"[-0.020362136885523796,0.08162302523851395,-0.16633692383766174,0.10161726921796799,-0.02124198153614998]"
4347,"[0.040455617010593414,0.05707012861967087,0.0022885503713041544,-0.012750575318932533,0.06325428932905197]"
4717,"[-0.08001739531755447,0.03163721039891243,-0.004572784528136253,-0.05936949700117111,0.023729847744107246]"
616,"[0.1589363068342209,-0.03511082008481026,0.11255506426095963,0.002781311050057411,0.20689673721790314]"
69524,"[0.03202918916940689,0.0843673050403595,-0.1147649884223938,0.11258169263601303,-0.10276278853416443]"
589,"[0.7343531250953674,-0.845491349697113,-0.345427930355072,-0.7349342107772827,1.378985047340393]"
103984,"[-0.02117699757218361,-0.033575624227523804,-0.06292560696601868,0.07326718419790268,0.045049600303173065]"
69640,"[0.035275958478450775,-0.010331221856176853,-0.08508704602718353,-0.03279842436313629,-0.02477167174220085]"
