movie_id,movie_embedding
189,"0.0,0.0,0.14048506,0.0,0.7505004,0.0,0.0,0.0"
190,"0.0,0.0,0.46706903,0.0,1.0418054,0.0,0.0,0.0"
191,"0.0,0.0,0.0,0.0,0.4388209,0.0,0.0,0.0"
192,"0.0,0.0,0.49227643,0.0,1.0703771,0.0,0.0,0.0"
193,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
194,"0.0,0.0,0.58830863,0.0,1.1510696,0.0,0.0,0.0"
195,"0.0,0.0,0.0,0.0,0.39668623,0.0,0.0,0.0"
196,"0.0,0.0,0.1802825,0.0,0.7970052,0.0,0.0,0.0"
197,"0.0,0.0,0.26686803,0.0,0.86570376,0.0,0.0,0.0"
198,"0.0,0.0,0.32005492,0.0,0.9141927,0.0,0.0,0.0"
199,"0.0,0.0,0.6337228,0.0,1.1890715,0.0,0.0,0.0"
200,"0.0,0.0,0.027797448,0.0,0.6372893,0.0,0.0,0.0"
201,"0.0,0.0,0.35084847,0.0,0.9518181,0.0,0.0,0.0"
202,"0.0,0.0,0.0,0.0,0.427222,0.0,0.0,0.0"
203,"0.0,0.0,0.06717649,0.0,0.68447024,0.0,0.0,0.0"
204,"0.0,0.0,0.0,0.0,0.39575702,0.0,0.0,0.0"
205,"0.0,0.0,0.521533,0.0,1.0941556,0.0,0.0,0.0"
206,"0.0,0.0,0.54831773,0.0,1.1256484,0.0,0.0,0.0"
207,"0.0,0.0,0.046702884,0.0,0.64271003,0.0,0.0,0.0"
208,"0.0,0.0,0.123135254,0.0,0.74526113,0.0,0.0,0.0"
209,"0.0,0.0,0.10985394,0.0,0.70643204,0.0,0.0,0.0"
210,"0.0,0.0,0.06843116,0.0,0.656539,0.0,0.0,0.0"
211,"0.0,0.0,0.02687207,0.0,0.6210548,0.0,0.0,0.0"
212,"0.0,0.0,0.0,0.0,0.604044,0.0,0.0,0.0"
213,"0.0,0.0,0.57316667,0.0,1.1380098,0.0,0.0,0.0"
214,"0.0,0.0,0.54134357,0.0,1.1117485,0.0,0.0,0.0"
215,"0.0,0.0,0.36516774,0.0,0.964422,0.0,0.0,0.0"
216,"0.0,0.0,0.067755334,0.0,0.6881164,0.0,0.0,0.0"
217,"0.0,0.0,0.0,0.0,0.5551236,0.0,0.0,0.0"
218,"0.0,0.0,0.048222616,0.0,0.6459679,0.0,0.0,0.0"
219,"0.0,0.0,0.28478637,0.0,0.88654995,0.0,0.0,0.0"
220,"0.0,0.0,0.011543056,0.0,0.63254076,0.0,0.0,0.0"
222,"0.0,0.0,0.3023863,0.0,0.90651965,0.0,0.0,0.0"
223,"0.0,0.0,0.7272667,0.0,1.249793,0.0,0.0,0.0"
224,"0.0,0.0,0.1844183,0.0,0.79451466,0.0,0.0,0.0"
225,"0.0,0.0,0.18015756,0.0,0.7801735,0.0,0.0,0.0"
226,"0.0,0.0,0.18629642,0.0,0.79497486,0.0,0.0,0.0"
227,"0.0,0.0,0.0,0.0,0.5442349,0.0,0.0,0.0"
228,"0.0,0.0,0.0,0.0,0.5608175,0.0,0.0,0.0"
229,"0.0,0.0,0.52029616,0.0,1.0944772,0.0,0.0,0.0"
230,"0.0,0.0,0.2106161,0.0,0.809146,0.0,0.0,0.0"
231,"0.0,0.0,0.11976397,0.0,0.7393186,0.0,0.0,0.0"
232,"0.0,0.0,0.87801224,0.0,1.3859222,0.0,0.0,0.0"
233,"0.0,0.0,0.38405088,0.0,0.98392826,0.0,0.0,0.0"
234,"0.0,0.0,0.0,0.0,0.21574235,0.0,0.0,0.0"
235,"0.0,0.0,0.5175958,0.0,1.0917361,0.0,0.0,0.0"
236,"0.0,0.0,0.03823684,0.0,0.65009594,0.0,0.0,0.0"
237,"0.0,0.0,0.017427629,0.0,0.6319798,0.0,0.0,0.0"
238,"0.0,0.0,0.17645897,0.0,0.78469753,0.0,0.0,0.0"
239,"0.0,0.0,0.0,0.0,0.36932123,0.0,0.0,0.0"
240,"0.0,0.0,0.16586708,0.0,0.7704346,0.0,0.0,0.0"
241,"0.0,0.0,0.27964258,0.0,0.8816393,0.0,0.0,0.0"
242,"0.0,0.0,0.32878342,0.0,0.9275455,0.0,0.0,0.0"
243,"0.0,0.0,0.0023353603,0.0,0.6073232,0.0,0.0,0.0"
244,"0.0,0.0,0.1528228,0.0,0.76495,0.0,0.0,0.0"
245,"0.0,0.0,0.11833672,0.0,0.71371764,0.0,0.0,0.0"
246,"0.0,0.0,1.007304,0.0,1.5088437,0.0,0.0,0.0"
247,"0.0,0.0,0.69994104,0.0,1.2399204,0.0,0.0,0.0"
248,"0.0,0.0,0.165128,0.0,0.7845795,0.0,0.0,0.0"
249,"0.0,0.0,0.41198993,0.0,1.0061629,0.0,0.0,0.0"
250,"0.0,0.0,0.11419661,0.0,0.72372234,0.0,0.0,0.0"
251,"0.0,0.0,0.10612847,0.0,0.7219481,0.0,0.0,0.0"
252,"0.0,0.0,0.28859508,0.0,0.8938289,0.0,0.0,0.0"
253,"0.0,0.0,0.4740922,0.0,1.0567467,0.0,0.0,0.0"
254,"0.0,0.0,0.045369588,0.0,0.63961804,0.0,0.0,0.0"
255,"0.0,0.0,0.0,0.0,0.17163724,0.0,0.0,0.0"
256,"0.0,0.0,0.0,0.0,0.55688334,0.0,0.0,0.0"
257,"0.0,0.0,0.33130303,0.0,0.9325304,0.0,0.0,0.0"
258,"0.0,0.0,0.0,0.0,0.3984955,0.0,0.0,0.0"
259,"0.0,0.0,0.0,0.0,0.47635734,0.0,0.0,0.0"
260,"0.0,0.0,1.4041166,0.0,1.8003645,0.0,0.0,0.0"
261,"0.0,0.0,0.4086023,0.0,1.005608,0.0,0.0,0.0"
262,"0.0,0.0,0.41703135,0.0,1.0123134,0.0,0.0,0.0"
263,"0.0,0.0,0.45787722,0.0,1.0437865,0.0,0.0,0.0"
264,"0.0,0.0,0.2966965,0.0,0.8990334,0.0,0.0,0.0"
265,"0.0,0.0,0.74524295,0.0,1.2778076,0.0,0.0,0.0"
266,"0.0,0.0,0.5340287,0.0,1.1064416,0.0,0.0,0.0"
267,"0.0,0.0,0.0,0.0,0.49421057,0.0,0.0,0.0"
268,"0.0,0.0,0.38061982,0.0,0.9783446,0.0,0.0,0.0"
269,"0.0,0.0,0.1776239,0.0,0.77214515,0.0,0.0,0.0"
270,"0.0,0.0,0.12168607,0.0,0.7157885,0.0,0.0,0.0"
271,"0.0,0.0,0.11799857,0.0,0.7154421,0.0,0.0,0.0"
272,"0.0,0.0,0.6184939,0.0,1.1764755,0.0,0.0,0.0"
273,"0.0,0.0,0.0,0.0,0.5692541,0.0,0.0,0.0"
274,"0.0,0.0,0.0,0.0,0.2626535,0.0,0.0,0.0"
275,"0.0,0.0,0.0,0.0,0.04421574,0.0,0.0,0.0"
276,"0.0,0.0,0.0,0.0,0.586733,0.0,0.0,0.0"
277,"0.0,0.0,0.28568122,0.0,0.888345,0.0,0.0,0.0"
278,"0.0,0.0,0.07634546,0.0,0.6889819,0.0,0.0,0.0"
279,"0.0,0.0,0.2274614,0.0,0.8265831,0.0,0.0,0.0"
280,"0.0,0.0,0.5636913,0.0,1.1272912,0.0,0.0,0.0"
281,"0.0,0.0,0.30253845,0.0,0.9019223,0.0,0.0,0.0"
282,"0.0,0.0,0.21547754,0.0,0.814762,0.0,0.0,0.0"
283,"0.0,0.0,0.2949593,0.0,0.8941294,0.0,0.0,0.0"
284,"0.0,0.0,0.1445273,0.0,0.76190627,0.0,0.0,0.0"
285,"0.0,0.0,0.2493158,0.0,0.847234,0.0,0.0,0.0"
286,"0.0,0.0,0.082424864,0.0,0.7004554,0.0,0.0,0.0"
287,"0.0,0.0,0.27397758,0.0,0.8808791,0.0,0.0,0.0"
288,"0.0,0.0,0.22578517,0.0,0.8404215,0.0,0.0,0.0"
289,"0.0,0.0,0.19669281,0.0,0.8109151,0.0,0.0,0.0"
290,"0.0,0.0,0.57912654,0.0,1.1434178,0.0,0.0,0.0"
291,"0.0,0.0,0.0,0.0,0.50730264,0.0,0.0,0.0"
292,"0.0,0.0,0.19023125,0.0,0.79160845,0.0,0.0,0.0"
293,"0.0,0.0,0.80797446,0.0,1.3278961,0.0,0.0,0.0"
294,"0.0,0.0,0.24480724,0.0,0.85637665,0.0,0.0,0.0"
295,"0.0,0.0,0.2595728,0.0,0.8692424,0.0,0.0,0.0"
296,"0.0,0.0,1.2018505,0.0,1.6501219,0.0,0.0,0.0"
297,"0.0,0.0,0.13085602,0.0,0.7290511,0.0,0.0,0.0"
298,"0.0,0.0,0.15226583,0.0,0.76606214,0.0,0.0,0.0"
299,"0.0,0.0,0.40630874,0.0,1.0010505,0.0,0.0,0.0"
300,"0.0,0.0,0.60240215,0.0,1.1617545,0.0,0.0,0.0"
301,"0.0,0.0,0.06840015,0.0,0.6648771,0.0,0.0,0.0"
302,"0.0,0.0,0.42649862,0.0,1.0183135,0.0,0.0,0.0"
303,"0.0,0.0,0.090722345,0.0,0.7054743,0.0,0.0,0.0"
304,"0.0,0.0,0.4549452,0.0,1.0424317,0.0,0.0,0.0"
305,"0.0,0.0,0.0,0.0,0.42679062,0.0,0.0,0.0"
306,"0.0,0.0,0.9255089,0.0,1.42432,0.0,0.0,0.0"
307,"0.0,0.0,0.82689244,0.0,1.3453376,0.0,0.0,0.0"
308,"0.0,0.0,0.52896893,0.0,1.1009752,0.0,0.0,0.0"
309,"0.0,0.0,0.41102725,0.0,1.003956,0.0,0.0,0.0"
310,"0.0,0.0,0.12915528,0.0,0.7414235,0.0,0.0,0.0"
311,"0.0,0.0,0.17260237,0.0,0.78127885,0.0,0.0,0.0"
312,"0.0,0.0,0.0,0.0,0.24616006,0.0,0.0,0.0"
313,"0.0,0.0,0.24690908,0.0,0.85339195,0.0,0.0,0.0"
314,"0.0,0.0,0.5081364,0.0,1.0841519,0.0,0.0,0.0"
315,"0.0,0.0,0.0,0.0,0.61723125,0.0,0.0,0.0"
316,"0.0,0.0,0.43345356,0.0,1.0076615,0.0,0.0,0.0"
317,"0.0,0.0,0.25224763,0.0,0.8649247,0.0,0.0,0.0"
318,"0.0,0.0,1.4025346,0.0,1.8152198,0.0,0.0,0.0"
319,"0.0,0.0,0.700054,0.0,1.2325063,0.0,0.0,0.0"
320,"0.0,0.0,0.04630842,0.0,0.6500993,0.0,0.0,0.0"
321,"0.0,0.0,0.43655425,0.0,1.0268972,0.0,0.0,0.0"
322,"0.0,0.0,0.58175015,0.0,1.1456296,0.0,0.0,0.0"
324,"0.0,0.0,0.18026721,0.0,0.7984209,0.0,0.0,0.0"
325,"0.0,0.0,0.0,0.0,0.49277115,0.0,0.0,0.0"
326,"0.0,0.0,0.2666356,0.0,0.8649616,0.0,0.0,0.0"
327,"0.0,0.0,0.021436652,0.0,0.6359787,0.0,0.0,0.0"
328,"0.0,0.0,0.22936523,0.0,0.83680844,0.0,0.0,0.0"
329,"0.0,0.0,0.42939898,0.0,1.0049207,0.0,0.0,0.0"
330,"0.0,0.0,0.0,0.0,0.33965096,0.0,0.0,0.0"
331,"0.0,0.0,0.29773584,0.0,0.89539564,0.0,0.0,0.0"
332,"0.0,0.0,0.0,0.0,0.47634748,0.0,0.0,0.0"
333,"0.0,0.0,0.53492427,0.0,1.0943301,0.0,0.0,0.0"
334,"0.0,0.0,0.68636996,0.0,1.2295122,0.0,0.0,0.0"
335,"0.0,0.0,0.47643638,0.0,1.049856,0.0,0.0,0.0"
336,"0.0,0.0,0.1125513,0.0,0.71046317,0.0,0.0,0.0"
337,"0.0,0.0,0.7324609,0.0,1.2688332,0.0,0.0,0.0"
338,"0.0,0.0,0.017123701,0.0,0.6261296,0.0,0.0,0.0"
339,"0.0,0.0,0.3428679,0.0,0.9365556,0.0,0.0,0.0"
340,"0.0,0.0,0.32619828,0.0,0.93017614,0.0,0.0,0.0"
341,"0.0,0.0,0.40166616,0.0,0.99705756,0.0,0.0,0.0"
342,"0.0,0.0,0.5351462,0.0,1.0932302,0.0,0.0,0.0"
343,"0.0,0.0,0.0,0.0,0.5766802,0.0,0.0,0.0"
344,"0.0,0.0,0.25871384,0.0,0.8682408,0.0,0.0,0.0"
345,"0.0,0.0,0.62386763,0.0,1.1787949,0.0,0.0,0.0"
346,"0.0,0.0,0.4195155,0.0,1.0127041,0.0,0.0,0.0"
347,"0.0,0.0,0.4251342,0.0,1.0175155,0.0,0.0,0.0"
348,"0.0,0.0,0.34687552,0.0,0.942314,0.0,0.0,0.0"
349,"0.0,0.0,0.6586204,0.0,1.1907439,0.0,0.0,0.0"
350,"0.0,0.0,0.54832685,0.0,1.116883,0.0,0.0,0.0"
351,"0.0,0.0,0.45176902,0.0,1.039085,0.0,0.0,0.0"
352,"0.0,0.0,0.0,0.0,0.56719327,0.0,0.0,0.0"
353,"0.0,0.0,0.29408672,0.0,0.8947736,0.0,0.0,0.0"
354,"0.0,0.0,0.16752522,0.0,0.7651254,0.0,0.0,0.0"
355,"0.0,0.0,0.0,0.0,0.2866065,0.0,0.0,0.0"
356,"0.0,0.0,0.9593891,0.0,1.4392619,0.0,0.0,0.0"
357,"0.0,0.0,0.5462528,0.0,1.1020417,0.0,0.0,0.0"
